,array4j.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,pustefix.csv,jmonkeyengine.csv,e-bio-flow.csv,jgossipforum.csv,joustsim.csv,reaper3d.csv,ngl.csv,jas.csv,emono.csv,thedata.csv
array4j.csv,0.62,0.32,0.38,0.54,0.67,0.87,0.89,0.63,0.8,0.55,0.38,0.08,0.88,0.35,1.0
e-bio-flow.csv,0.31,0.45,0.69,0.75,0.67,0.22,0.44,0.67,0.2,0.36,0.62,0.25,0.25,0.89,0.25
emono.csv,0.88,0.73,0.54,0.63,1.0,0.57,0.39,0.63,0.4,0.64,0.5,0.65,0.38,0.65,0.75
jas.csv,0.5,0.86,0.08,0.73,0.33,0.7,0.56,0.6,1.0,0.18,0.62,0.74,0.75,0.62,0.0
jbpm.csv,0.12,0.05,0.0,0.75,0.0,0.09,0.11,0.17,0.0,0.09,0.0,0.01,0.0,0.0,0.0
jgossipforum.csv,0.5,0.59,0.15,0.17,0.33,0.7,0.22,0.4,1.0,0.36,0.88,0.57,0.0,0.36,0.5
jmonkeyengine.csv,0.38,0.82,0.0,0.69,0.33,0.83,0.78,0.47,0.4,0.27,0.75,0.8,0.5,0.84,0.25
joustsim.csv,0.38,0.82,0.31,0.6,0.33,0.96,0.72,0.37,1.0,0.91,0.88,0.79,0.75,0.56,1.0
log4net.csv,0.56,0.23,0.62,0.25,1.0,0.13,0.0,0.5,0.0,0.73,0.38,0.2,0.0,0.34,0.25
ngl.csv,0.69,0.91,0.85,0.96,0.67,0.96,0.56,0.8,0.8,0.73,0.88,0.71,0.88,0.6,1.0
piccolo2d.csv,0.5,0.5,0.92,0.54,0.67,0.09,0.33,0.53,0.0,0.55,0.12,0.38,0.0,0.2,0.25
pustefix.csv,0.19,0.5,0.85,0.63,0.67,0.57,0.61,0.47,0.2,0.27,0.25,0.53,0.62,0.59,0.5
reaper3d.csv,0.31,0.77,0.08,0.27,0.33,0.3,0.17,0.5,0.8,0.18,0.75,0.31,0.5,0.32,0.25
sblim.csv,0.81,1.0,0.77,0.75,0.67,0.52,0.39,0.67,1.0,0.64,0.38,0.91,0.75,0.92,0.75
thedata.csv,0.75,0.91,0.62,0.44,0.67,0.7,0.39,0.77,0.8,0.64,0.88,0.65,0.62,0.6,1.0
