,flylinkdc.csv,vdsf.csv,nuttx.csv,dvt.csv,ldview.csv,fw4spl.csv,ctrlr.csv,ipfire-wall.csv,uclmda.csv,codepurge.csv,free-evolution.csv,xcf.csv,fulguro.csv
codepurge.csv,0.05,0.0,0.07,0.12,0.33,0.06,0.0,0.06,0.01,0.25,0.24,0.12,0.36
ctrlr.csv,0.03,0.0,0.0,0.1,0.05,0.0,0.38,0.11,0.48,0.04,0.06,0.31,0.09
dvt.csv,0.59,0.71,0.23,0.48,0.57,0.0,0.71,0.11,0.84,0.58,0.52,0.16,0.55
flylinkdc.csv,0.43,0.5,0.07,0.67,0.29,0.33,0.43,0.56,0.0,0.42,0.36,0.44,0.64
free-evolution.csv,0.92,0.6,0.82,0.19,0.1,0.25,0.1,0.0,0.98,0.0,0.18,0.53,0.0
fulguro.csv,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.44,0.0,0.79,0.67,1.0,0.0
fw4spl.csv,0.05,0.01,0.01,0.0,0.0,0.08,0.05,0.28,0.01,0.25,0.03,0.03,0.0
ipfire-wall.csv,0.35,0.39,0.21,0.14,0.0,0.17,0.05,0.83,0.0,0.04,0.09,0.22,0.27
ldview.csv,0.95,0.63,0.42,0.79,0.52,0.94,0.05,0.83,0.68,0.38,0.64,0.81,0.82
nuttx.csv,0.89,0.87,0.97,0.9,1.0,0.98,0.9,0.78,1.0,1.0,0.94,0.94,0.91
uclmda.csv,0.41,0.13,0.32,0.14,0.52,0.42,0.29,0.22,0.99,0.5,0.36,0.5,0.18
vdsf.csv,0.19,0.0,0.01,0.1,0.24,0.0,0.19,0.33,0.0,0.0,0.09,0.0,0.18
xcf.csv,0.86,0.62,0.46,0.5,0.71,0.4,0.62,1.0,0.24,0.33,0.27,0.84,0.91
