,baadengine.csv,werx.csv,plog4u.csv,jgameai.csv,zealos.csv,jaxen.csv,bnetd.csv,vars-redux.csv,wishmaster.csv,motu.csv,all-plasm.csv,impala.csv,xreal.csv,jparsec.csv
all-plasm.csv,0.54,0.66,0.76,0.8,0.88,0.91,0.55,0.43,0.47,0.57,0.59,0.9,0.72,0.89
baadengine.csv,0.49,0.51,0.36,0.42,0.54,0.38,0.41,0.33,0.38,0.36,0.29,0.33,0.36,0.38
bnetd.csv,0.59,0.37,0.51,0.52,0.64,0.42,0.44,0.4,0.58,0.68,0.31,0.4,0.4,0.57
impala.csv,0.97,0.98,0.62,0.54,0.75,0.43,0.72,0.94,0.89,0.78,0.41,0.92,0.71,0.95
jaxen.csv,0.43,0.41,0.49,0.55,0.62,0.85,0.57,0.46,0.44,0.44,0.31,0.38,0.48,0.54
jgameai.csv,0.0,0.67,0.9,0.78,0.74,0.8,0.95,0.91,0.84,0.91,0.75,0.89,0.97,0.0
jparsec.csv,0.49,0.61,0.45,0.41,0.55,0.39,0.47,0.45,0.45,0.37,0.29,0.36,0.41,0.47
motu.csv,0.79,0.37,0.49,0.67,0.8,0.42,0.55,0.37,0.59,0.63,0.31,0.39,0.44,0.44
vars-redux.csv,0.42,0.53,0.49,0.57,0.53,0.46,0.42,0.4,0.38,0.42,0.44,0.35,0.39,0.42
werx.csv,0.42,0.37,0.41,0.49,0.54,0.42,0.46,0.38,0.39,0.4,0.32,0.33,0.36,0.39
wishmaster.csv,0.98,0.92,0.86,0.75,0.67,0.9,0.8,0.44,0.56,0.86,0.69,0.73,0.71,0.93
xreal.csv,0.98,0.95,0.96,0.92,0.75,0.0,0.88,0.94,0.67,0.88,0.75,0.83,0.88,0.75
zealos.csv,0.99,0.93,0.94,0.88,0.59,0.86,0.83,0.95,0.67,0.67,0.65,0.8,0.77,0.96
