,recall,precision,pf,wins
bulmages.csv,0.18,0.16999999999999998,0.055,4
codeblocks.csv,0.46499999999999997,0.33999999999999997,0.20500000000000002,11
ctrlr.csv,0.19,0.295,0.245,3
dvt.csv,0.38,0.3,0.405,1
flylinkdc.csv,0.73,0.355,0.665,2
kowari.csv,0.345,0.36,0.265,7
ldview.csv,0.8,0.31,0.45499999999999996,8
maidsafe-dht.csv,0.45499999999999996,0.425,0.32,10
n2cms.csv,0.62,0.42500000000000004,0.325,12
nuttx.csv,0.265,0.45499999999999996,0.15000000000000002,13
rtb-team.csv,0.275,0.345,0.15,9
super-tux.csv,0.765,0.35,0.62,5
vdsf.csv,0.765,0.295,0.795,0
xbrlapi.csv,0.25,0.32,0.245,6
