,kdenlive.csv,jatlas.csv,m-m-m.csv,x-ray-mule.csv,jrefactory.csv,algebsql.csv,emisview.csv,opennms.csv,rohxel.csv,cuberok.csv,jgossipforum.csv,octet.csv,power-architect.csv,jchassis.csv,jas.csv,poormans.csv,opendvr.csv,synecdoche.csv,javaprofiler.csv,thedata.csv
algebsql.csv,0.94,1.02,0.81,0.55,0.86,0.17,0.89,0.83,0.92,0.77,0.85,0.86,0.87,0.52,0.88,0.75,0.78,0.76,0.93,0.82
cuberok.csv,0.77,0.49,0.68,0.63,0.83,0.89,0.61,0.58,0.59,0.45,0.46,0.63,0.75,0.52,0.74,0.48,0.98,0.68,0.61,0.71
emisview.csv,0.9,0.43,0.94,1.0,0.89,0.86,0.42,0.65,0.67,1.0,0.81,0.87,0.72,1.0,0.27,0.43,1.0,1.0,0.89,1.01
jas.csv,0.63,0.85,0.73,0.41,0.9,0.7,0.61,0.62,0.86,0.7,0.55,0.62,0.61,0.24,0.27,0.72,0.75,0.86,0.63,1.01
jatlas.csv,0.78,0.15,0.75,0.97,0.7,0.61,0.8,0.77,0.95,0.75,1.01,0.69,0.93,1.0,0.48,0.38,0.82,0.68,0.92,0.58
javaprofiler.csv,0.72,0.74,0.55,1.0,0.84,0.87,0.54,0.75,0.76,0.69,0.23,0.64,0.75,0.7,0.75,0.68,0.72,0.8,0.24,0.88
jchassis.csv,1.0,1.0,1.0,1.0,1.0,0.97,1.0,1.0,1.0,1.0,1.0,1.0,0.98,0.09,1.0,1.0,1.0,1.0,1.0,1.0
jgossipforum.csv,0.63,0.81,0.86,0.81,0.85,0.93,0.58,0.73,0.69,0.67,0.06,0.86,0.97,1.05,1.0,0.64,0.87,0.74,0.8,0.52
jrefactory.csv,0.63,1.03,0.55,0.99,0.46,0.77,1.0,0.93,0.67,0.66,0.94,0.98,0.84,0.77,1.09,0.89,0.79,0.73,0.86,0.98
kdenlive.csv,0.46,0.58,0.66,0.99,0.91,0.94,0.54,0.86,0.72,0.51,0.64,0.55,0.87,0.72,0.77,0.38,0.52,0.88,0.63,0.92
m-m-m.csv,0.53,0.89,0.28,0.7,0.79,1.0,0.81,0.83,0.65,0.72,0.82,1.01,0.58,0.86,1.0,0.7,0.71,0.79,0.84,0.92
octet.csv,0.73,0.77,0.84,1.01,0.85,0.65,0.92,0.83,0.78,1.01,0.93,0.26,1.0,1.06,0.45,0.88,1.0,0.74,0.78,0.79
opendvr.csv,0.79,0.51,0.98,1.02,0.81,0.74,0.46,0.54,0.8,0.81,0.45,0.86,0.67,1.01,0.46,0.47,0.44,0.77,0.84,0.76
opennms.csv,0.67,0.55,0.9,0.92,0.85,0.94,0.61,0.37,0.67,0.81,0.33,0.86,0.71,1.0,0.52,0.67,0.75,0.97,0.91,0.77
poormans.csv,0.85,0.42,0.91,1.0,0.75,0.9,0.64,0.77,0.97,0.73,0.8,0.72,0.86,1.0,0.68,0.33,1.0,0.91,0.92,0.77
power-architect.csv,1.0,0.9,0.62,0.95,0.83,0.66,0.51,0.76,0.91,0.82,0.83,0.51,0.3,0.74,0.64,0.79,1.0,0.98,0.83,0.89
rohxel.csv,0.53,1.0,1.0,0.87,0.83,1.06,0.84,0.94,0.34,0.69,1.0,0.73,0.92,1.0,1.0,0.59,0.61,0.72,0.87,1.03
synecdoche.csv,0.75,0.55,1.05,1.14,0.75,0.66,0.84,0.68,0.6,1.0,0.86,0.89,0.7,1.03,0.97,0.53,0.67,0.4,0.83,0.82
thedata.csv,0.5,0.61,0.93,0.86,0.67,0.83,0.9,0.75,0.86,0.8,0.71,0.88,0.9,1.1,0.66,0.7,0.72,0.76,0.83,0.08
x-ray-mule.csv,0.91,0.67,0.86,0.34,0.94,1.03,0.96,0.76,0.81,1.0,0.63,0.96,0.89,1.02,0.81,0.79,1.0,0.94,0.64,1.0
