,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,multitude.csv
amateur-scrolls.csv,0.0,0.0,1.0,1.0,0.0,56.0,3.0,0.0,0.0,3.0
fritzing.csv,0.0,4.0,1.0,7.0,0.0,101.0,0.0,0.0,3.0,3.0
jlinalg.csv,0.0,11.0,1.0,1.0,0.0,237.0,3.0,11.0,1.0,0.0
knowledge.csv,0.0,17.0,1.0,1.0,0.0,283.0,2.0,8.0,5.0,0.0
massiv.csv,0.0,3.0,1.0,140.0,66.0,561.0,57.0,65.0,55.0,123.0
multitude.csv,0.0,12.0,1.0,2.0,0.0,224.0,10.0,4.0,4.0,0.0
playerstage.csv,0.0,11.0,1.0,0.0,0.0,97.0,1.0,3.0,5.0,4.0
quarkplusplus.csv,0.0,5.0,1.0,1.0,0.0,118.0,6.0,11.0,0.0,1.0
rtrt-on-gpu.csv,0.0,3.0,1.0,4.0,0.0,561.0,2.0,65.0,6.0,0.0
superwaba.csv,0.0,1.0,1.0,0.0,0.0,25.0,4.0,5.0,2.0,2.0
