,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,multitude.csv
amateur-scrolls.csv,0.39,0.26,0.62,0.3,0.43,0.29,0.12,0.54,0.54,0.21
fritzing.csv,0.67,0.71,0.68,0.53,0.64,0.64,0.12,0.34,0.64,0.57
jlinalg.csv,0.94,0.62,0.24,0.46,0.72,0.56,0.09,0.27,0.57,0.54
knowledge.csv,0.0,0.0,0.05,0.0,0.77,0.13,0.23,0.51,0.37,0.09
massiv.csv,0.1,0.33,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multitude.csv,0.51,0.59,0.58,0.49,0.66,0.47,0.57,0.65,0.39,0.7
playerstage.csv,0.34,0.64,0.67,0.74,0.68,0.53,0.12,0.44,0.41,0.5
quarkplusplus.csv,0.6,0.7,0.53,0.48,0.71,0.73,0.12,0.09,0.56,0.51
rtrt-on-gpu.csv,0.1,0.21,0.07,0.06,0.21,0.0,0.74,0.0,0.2,0.14
superwaba.csv,0.52,0.74,0.65,0.51,0.44,0.87,0.23,0.61,0.29,0.5
