,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,multitude.csv
amateur-scrolls.csv,0.68,0.79,0.53,0.75,0.96,0.01,0.25,0.56,0.63,0.71
fritzing.csv,0.91,0.55,0.7,0.45,0.94,0.01,0.33,0.32,0.5,0.65
jlinalg.csv,0.94,0.41,0.48,0.42,0.96,0.01,0.11,0.32,0.45,0.55
knowledge.csv,0.78,0.35,0.49,0.41,0.95,0.01,0.15,0.29,0.4,0.53
massiv.csv,1.0,0.78,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multitude.csv,0.78,0.39,0.51,0.42,0.94,0.01,0.19,0.35,0.43,0.71
playerstage.csv,0.68,0.41,0.56,0.66,0.96,0.01,0.2,0.42,0.43,0.68
quarkplusplus.csv,0.88,0.62,0.58,0.46,1.0,0.02,0.12,0.3,0.57,0.59
rtrt-on-gpu.csv,1.0,0.26,0.29,0.2,0.76,0.0,0.7,0.0,0.22,0.47
superwaba.csv,0.89,0.69,0.6,0.66,0.96,0.02,0.15,0.36,0.6,0.76
