,ns-3.csv,grafx2.csv,sylpheed-claws.csv,minig.csv,omseek.csv,megameknet.csv,kmess.csv,google-gears.csv,ftm.csv,xamj.csv,quickfast.csv
ftm.csv,0.66,0.56,0.61,0.61,0.46,0.45,0.58,0.69,0.02,0.61,0.5
google-gears.csv,0.72,0.88,0.63,0.6,0.86,0.69,0.79,0.03,0.67,0.59,0.71
grafx2.csv,0.64,0.0,0.57,0.76,0.58,0.53,0.58,0.69,0.65,0.52,0.48
kmess.csv,0.63,0.57,0.67,0.67,0.55,0.49,0.0,0.64,0.63,0.72,0.62
megameknet.csv,0.59,0.55,0.61,0.6,0.71,0.06,0.78,0.79,0.66,0.62,0.71
minig.csv,0.71,0.52,0.87,0.02,0.51,0.59,0.61,0.71,0.81,0.62,0.74
ns-3.csv,0.01,0.96,0.59,0.66,0.58,0.52,0.67,0.68,0.58,0.73,0.64
omseek.csv,0.89,0.95,0.82,0.85,0.06,0.78,0.79,0.96,0.8,0.75,0.78
quickfast.csv,0.61,0.68,0.9,0.64,0.59,0.54,0.65,0.55,0.65,0.48,0.02
sylpheed-claws.csv,0.68,0.69,0.03,0.73,0.7,0.51,0.68,0.64,0.67,0.56,0.39
xamj.csv,0.79,0.64,0.6,0.63,0.74,0.63,0.62,0.66,0.71,0.06,0.67
