,ns-3.csv,grafx2.csv,sylpheed-claws.csv,minig.csv,omseek.csv,megameknet.csv,kmess.csv,google-gears.csv,ftm.csv,xamj.csv,quickfast.csv
ftm.csv,0.43,0.66,0.6,0.46,0.71,0.66,0.66,0.58,0.98,0.47,0.58
google-gears.csv,0.59,0.44,0.62,0.51,0.45,0.39,0.54,0.99,0.52,0.56,0.61
grafx2.csv,0.45,1.0,0.53,0.37,0.52,0.59,0.51,0.5,0.55,0.56,0.6
kmess.csv,0.51,0.51,0.42,0.51,0.66,0.61,1.0,0.46,0.53,0.53,0.58
megameknet.csv,0.59,0.69,0.56,0.53,0.57,0.95,0.51,0.51,0.61,0.45,0.56
minig.csv,0.46,0.69,0.21,0.98,0.6,0.49,0.57,0.5,0.25,0.46,0.51
ns-3.csv,0.99,0.28,0.69,0.51,0.65,0.6,0.4,0.57,0.61,0.56,0.6
omseek.csv,0.13,0.35,0.39,0.48,0.95,0.32,0.28,0.05,0.4,0.57,0.27
quickfast.csv,0.62,0.63,0.37,0.45,0.63,0.59,0.58,0.55,0.49,0.63,0.98
sylpheed-claws.csv,0.45,0.38,0.98,0.45,0.42,0.61,0.42,0.46,0.45,0.56,0.7
xamj.csv,0.32,0.42,0.51,0.53,0.37,0.6,0.46,0.43,0.59,0.95,0.4
