,paintown.csv,triplea.csv,fbmanager.csv,freenet.csv,onotoa.csv,botsnscouts.csv,google-caja.csv,myfaces.csv,k3b.csv,itext.csv,powerfolder.csv,fido.csv,megameknet.csv,fityk.csv,fleet-simulator.csv,hibernate.csv,geogebra.csv,duplicati.csv,xamj.csv
botsnscouts.csv,0.44,0.38,0.36,0.32,0.33,0.44,0.34,0.53,0.4,0.41,0.35,0.35,0.48,0.55,0.29,0.38,0.43,0.41,0.41
fbmanager.csv,0.0,0.0,0.43,0.88,0.88,0.7,0.0,0.0,0.59,0.0,0.92,0.0,0.0,0.83,0.83,0.0,0.0,0.55,0.0
fido.csv,0.5,0.67,0.0,0.93,0.92,0.0,0.72,0.0,0.5,0.0,0.77,0.94,0.0,0.0,0.82,0.94,0.89,0.8,0.6
fityk.csv,0.46,0.3,0.38,0.38,0.51,0.43,0.34,0.51,0.49,0.43,0.43,0.46,0.5,0.4,0.85,0.52,0.44,0.35,0.52
fleet-simulator.csv,0.42,0.3,0.41,0.35,0.41,0.31,0.33,0.44,0.39,0.42,0.35,0.33,0.49,0.36,0.3,0.41,0.41,0.32,0.46
freenet.csv,0.62,0.33,0.56,0.44,0.5,0.33,0.35,0.43,0.6,0.43,0.36,0.35,0.52,0.43,0.51,0.53,0.46,0.35,0.5
geogebra.csv,0.51,0.56,0.46,0.34,0.59,0.5,0.65,0.85,0.52,0.36,0.51,0.61,0.51,0.5,0.55,0.52,0.47,0.48,0.45
google-caja.csv,0.39,0.32,0.38,0.33,0.34,0.32,0.34,0.42,0.38,0.41,0.34,0.31,0.42,0.31,0.29,0.42,0.39,0.31,0.46
hibernate.csv,0.54,0.43,0.5,0.47,0.41,0.46,0.48,0.44,0.49,0.82,0.38,0.62,0.57,0.4,0.67,0.59,0.54,0.35,0.53
itext.csv,0.42,0.27,0.37,0.36,0.36,0.41,0.33,0.44,0.42,0.38,0.39,0.48,0.45,0.38,0.3,0.49,0.41,0.34,0.49
k3b.csv,0.45,0.37,0.4,0.39,0.38,0.36,0.35,0.45,0.41,0.48,0.49,0.35,0.47,0.35,0.59,0.49,0.44,0.36,0.52
megameknet.csv,0.47,0.36,0.46,0.37,0.53,0.48,0.35,0.46,0.49,0.38,0.41,0.61,0.49,0.4,0.52,0.52,0.44,0.35,0.52
myfaces.csv,0.52,0.6,0.71,0.49,0.49,0.56,0.77,0.56,0.54,0.88,0.34,0.6,0.64,0.5,0.35,0.55,0.66,0.43,0.5
onotoa.csv,0.64,0.93,0.96,0.86,0.48,0.86,0.95,0.57,0.67,0.94,0.43,0.54,0.81,0.61,0.75,0.76,0.99,0.57,0.76
paintown.csv,0.43,0.43,0.41,0.48,0.45,0.34,0.36,0.44,0.45,0.59,0.37,0.36,0.47,0.33,0.39,0.49,0.41,0.48,0.47
powerfolder.csv,0.54,0.86,0.41,0.78,0.5,0.8,0.9,0.66,0.43,0.83,0.94,0.59,0.58,0.46,0.52,0.61,0.67,0.88,0.93
triplea.csv,0.45,0.41,0.46,0.36,0.47,0.46,0.34,0.43,0.42,0.55,0.46,0.4,0.54,0.44,0.33,0.52,0.45,0.4,0.52
xamj.csv,0.46,0.62,0.37,0.34,0.33,0.36,0.34,0.5,0.45,0.41,0.44,0.35,0.5,0.41,0.46,0.48,0.58,0.56,0.49
