,reactos-mirror.csv,qgo.csv,kmatplot.csv,nh3d.csv,taokgame.csv,mcore3d.csv,applet2app.csv,gbif-providertoolkit.csv,htmlunit.csv,qtwin.csv,unbvision.csv,wishmaster.csv,autat.csv,all-plasm.csv,acdk.csv,autowikibrowser.csv,uwom.csv
acdk.csv,0.47,0.63,0.76,0.75,0.0,0.26,0.51,0.21,0.84,1.0,0.73,0.14,0.38,0.71,0.8,0.77,0.71
all-plasm.csv,0.11,0.73,0.31,1.0,1.0,0.53,0.52,0.36,0.2,0.83,0.17,0.43,0.12,0.76,0.25,0.5,0.6
applet2app.csv,0.74,0.5,0.79,1.0,0.9,0.74,0.62,0.79,0.56,1.0,0.43,0.29,0.5,0.9,0.83,0.66,0.62
autat.csv,0.34,0.5,0.55,0.5,0.9,0.55,0.64,0.64,0.14,0.83,0.07,0.21,0.62,0.33,0.91,0.25,0.59
autowikibrowser.csv,0.6,0.7,0.72,0.25,0.1,0.36,0.62,0.86,0.8,1.0,0.37,0.5,0.56,0.76,0.85,0.73,0.6
gbif-providertoolkit.csv,0.74,0.2,0.72,0.75,0.8,0.55,0.42,0.86,0.46,0.83,0.13,0.71,0.5,0.62,0.63,0.64,0.77
htmlunit.csv,0.67,0.47,0.69,0.25,0.5,0.58,0.53,0.79,0.62,1.0,0.53,0.57,0.62,0.95,0.63,0.7,0.53
kmatplot.csv,0.17,0.87,0.83,1.0,0.9,0.36,0.76,0.5,0.55,1.0,0.03,0.0,0.38,0.57,0.93,0.48,0.88
mcore3d.csv,0.03,0.7,0.69,0.0,0.0,0.71,0.66,0.43,0.23,0.67,0.63,0.64,0.81,0.43,0.1,0.59,0.71
nh3d.csv,0.0,1.0,1.0,1.0,1.0,0.98,0.0,1.0,0.3,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
qgo.csv,0.92,0.9,0.86,1.0,0.2,0.73,0.68,0.79,0.99,1.0,0.97,1.0,0.69,0.86,0.92,1.0,0.92
qtwin.csv,0.0,0.6,0.21,0.25,0.0,0.02,0.53,0.07,0.18,1.0,0.1,0.07,0.12,0.29,0.15,0.02,0.41
reactos-mirror.csv,0.61,0.37,0.93,1.0,1.0,0.76,0.84,0.79,0.85,1.0,0.8,0.36,0.81,0.67,0.96,0.77,0.84
taokgame.csv,0.19,0.73,0.52,0.0,1.0,0.17,0.42,0.29,0.05,1.0,0.33,0.36,0.31,0.57,0.67,0.16,0.51
unbvision.csv,0.77,0.53,0.83,0.25,0.6,0.49,0.41,0.79,0.63,1.0,0.83,0.29,0.75,0.43,0.85,0.64,0.69
uwom.csv,0.43,0.57,0.76,1.0,1.0,0.69,0.6,0.64,0.49,0.5,0.1,0.14,0.38,0.43,0.89,0.89,0.85
wishmaster.csv,0.0,0.77,0.41,0.0,0.0,0.43,0.5,0.36,0.39,0.83,0.37,0.86,0.38,0.14,0.59,0.34,0.24
