,reactos-mirror.csv,qgo.csv,kmatplot.csv,nh3d.csv,taokgame.csv,mcore3d.csv,applet2app.csv,gbif-providertoolkit.csv,htmlunit.csv,qtwin.csv,unbvision.csv,wishmaster.csv,autat.csv,all-plasm.csv,acdk.csv,autowikibrowser.csv,uwom.csv
acdk.csv,0.61,0.48,0.46,0.62,1.1,0.76,0.57,0.79,0.66,0.34,0.62,0.88,0.67,0.73,0.29,0.48,0.4
all-plasm.csv,0.9,0.46,0.85,0.36,0.27,0.6,0.72,0.7,0.81,0.4,0.85,0.68,0.91,0.36,0.77,0.71,0.52
applet2app.csv,0.61,0.51,0.47,0.98,0.75,0.62,0.5,0.59,0.49,0.81,0.58,0.84,0.54,0.87,0.45,0.53,0.42
autat.csv,0.69,0.87,0.48,0.57,0.52,0.59,0.62,0.56,0.87,0.51,0.93,0.86,0.47,0.69,0.61,0.75,0.43
autowikibrowser.csv,0.66,0.5,0.38,0.83,1.05,0.7,0.57,0.8,0.6,0.3,0.7,0.71,0.66,1.0,0.37,0.36,0.52
gbif-providertoolkit.csv,0.76,0.86,0.83,0.66,0.45,0.68,0.67,0.22,0.58,0.7,0.87,0.55,0.57,0.51,0.39,0.74,0.38
htmlunit.csv,0.63,0.54,0.46,0.91,0.59,0.55,0.57,0.72,0.46,0.25,0.52,0.68,0.49,0.87,0.38,0.46,0.55
kmatplot.csv,0.83,0.81,0.32,0.98,0.73,0.75,0.74,0.58,0.5,0.61,0.97,1.0,0.69,0.66,0.76,0.72,0.5
mcore3d.csv,0.97,0.46,0.49,1.0,1.04,0.51,0.67,0.58,0.79,0.41,0.7,0.62,0.67,0.68,0.9,0.54,0.57
nh3d.csv,1.0,1.0,1.0,0.01,1.0,0.97,1.0,0.99,0.71,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
qgo.csv,0.92,0.2,0.87,1.0,1.05,0.64,0.56,0.75,0.86,0.48,0.93,0.9,0.75,0.88,0.71,0.89,0.94
qtwin.csv,1.0,0.57,0.8,0.75,1.01,0.98,0.71,0.93,0.82,0.09,0.9,0.93,0.88,0.73,0.86,0.98,0.6
reactos-mirror.csv,0.47,0.66,0.52,1.0,1.0,0.72,0.72,0.66,0.66,0.87,0.61,0.78,0.67,0.9,0.86,0.52,0.63
taokgame.csv,0.82,0.58,0.56,1.0,0.1,0.83,0.74,0.73,0.96,0.24,0.69,0.71,0.76,0.49,0.36,0.85,0.5
unbvision.csv,0.63,0.65,0.52,1.12,0.96,0.64,0.62,0.52,0.49,0.79,0.33,0.76,0.47,0.88,0.75,0.51,0.51
uwom.csv,0.62,0.5,0.64,0.99,0.78,0.55,0.59,0.45,0.54,0.61,0.9,0.87,0.68,0.68,0.64,0.84,0.3
wishmaster.csv,1.0,0.7,0.64,1.01,1.0,0.64,0.71,0.69,0.63,0.41,0.66,0.33,0.79,0.87,0.46,0.67,0.78
