,superwaba.csv,fritzing.csv,lmms.csv,ifmo-game-1.csv,empserver.csv,repositorium.csv,pgui.csv,jparsec.csv,lufa-lib.csv,doomlegacy.csv,xapian.csv,pi-qmc.csv,cortex-vfx.csv,zemljanka.csv
cortex-vfx.csv,0.44,0.61,0.44,0.17,0.52,0.11,0.51,0.11,0.3,0.28,0.27,0.68,0.97,0.49
doomlegacy.csv,0.5,0.42,0.57,0.57,0.24,0.46,0.62,0.28,0.58,1.0,0.63,0.66,0.58,0.64
empserver.csv,0.65,0.46,0.49,0.55,1.0,0.31,0.65,0.61,0.52,0.44,0.31,0.39,0.63,0.25
fritzing.csv,0.65,0.97,0.43,0.17,0.37,0.21,0.56,0.44,0.49,0.35,0.43,0.41,0.51,0.3
ifmo-game-1.csv,0.12,0.07,0.05,0.88,0.0,0.0,0.0,0.02,0.0,0.07,0.0,0.0,0.04,0.0
jparsec.csv,0.66,0.24,0.5,0.54,0.41,0.57,0.48,0.97,0.49,0.58,0.49,0.62,0.54,0.6
lmms.csv,0.24,0.15,0.98,0.67,0.5,0.67,0.64,0.24,0.6,0.63,0.5,0.69,0.54,0.34
lufa-lib.csv,0.26,0.48,0.44,0.32,0.22,0.4,0.44,0.56,0.98,0.39,0.58,0.54,0.44,0.37
pgui.csv,0.4,0.58,0.5,0.16,0.37,0.31,0.97,0.26,0.59,0.42,0.53,0.4,0.42,0.42
pi-qmc.csv,0.58,0.57,0.48,0.46,0.66,0.21,0.62,0.48,0.57,0.55,0.54,1.0,0.54,0.46
repositorium.csv,0.59,0.56,0.32,0.16,0.13,0.93,0.41,0.52,0.52,0.32,0.05,0.11,0.3,0.0
superwaba.csv,0.97,0.61,0.52,0.56,0.2,0.21,0.44,0.53,0.16,0.24,0.27,0.27,0.52,0.22
xapian.csv,0.52,0.48,0.37,0.73,0.07,0.11,0.36,0.25,0.06,0.4,0.9,0.5,0.62,0.18
zemljanka.csv,0.05,0.21,0.05,0.0,0.24,0.0,0.0,0.0,0.27,0.0,0.05,0.0,0.0,1.0
