,superwaba.csv,fritzing.csv,lmms.csv,ifmo-game-1.csv,empserver.csv,repositorium.csv,pgui.csv,jparsec.csv,lufa-lib.csv,doomlegacy.csv,xapian.csv,pi-qmc.csv,cortex-vfx.csv,zemljanka.csv
cortex-vfx.csv,0.71,0.58,0.69,0.95,0.65,0.94,0.58,0.9,0.75,0.92,0.84,0.63,0.88,0.66
doomlegacy.csv,0.56,0.75,0.54,0.5,0.4,0.5,0.46,0.7,0.52,0.4,0.7,0.58,0.52,0.48
empserver.csv,0.46,0.51,0.57,0.47,0.53,0.73,0.57,0.52,0.57,0.53,0.82,0.7,0.55,0.93
fritzing.csv,0.6,0.56,0.6,0.69,0.71,0.78,0.54,0.63,0.56,0.7,0.76,0.73,0.5,0.91
ifmo-game-1.csv,0.8,0.75,0.86,0.83,0.0,0.0,0.0,0.67,0.0,0.8,0.0,0.0,0.89,0.0
jparsec.csv,0.55,0.97,0.52,0.59,0.51,0.53,0.44,0.58,0.53,0.44,0.56,0.59,0.47,0.55
lmms.csv,0.95,0.93,0.48,0.62,0.42,0.44,0.4,0.93,0.49,0.38,0.43,0.54,0.48,0.55
lufa-lib.csv,0.97,0.6,0.66,0.77,0.92,0.95,0.75,0.53,0.75,0.76,0.6,0.72,0.75,0.77
pgui.csv,0.8,0.58,0.62,0.77,0.94,0.83,0.76,0.94,0.69,0.74,0.65,0.71,0.67,0.81
pi-qmc.csv,0.5,0.47,0.48,0.45,0.42,0.94,0.47,0.49,0.47,0.43,0.49,0.59,0.74,0.5
repositorium.csv,0.45,0.6,0.88,0.65,0.41,0.9,0.6,0.6,0.48,0.71,0.94,0.67,0.84,0.46
superwaba.csv,0.53,0.47,0.56,0.57,0.88,0.88,0.6,0.55,0.83,0.94,0.92,0.86,0.61,0.91
xapian.csv,0.66,0.61,0.58,0.74,0.75,0.79,0.69,0.97,0.94,0.59,0.87,0.75,0.48,0.84
zemljanka.csv,0.42,0.42,0.39,0.44,0.4,0.41,0.4,0.39,0.52,0.36,0.4,0.41,0.42,0.45
