,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,jgameai.csv,zealos.csv,gogoego.csv,vars-redux.csv,httpcontentparser.csv,tart.csv,snakeyaml.csv,impala.csv,dataobjectsdotnet.csv,xbg.csv,gdis.csv,loki-lib.csv,xqilla.csv,biopax.csv,exl.csv,crux-framework.csv
avifile.csv,0.99,0.2,0.93,1.06,0.71,0.94,0.69,0.66,0.93,1.09,0.61,0.85,0.73,0.88,0.93,0.99,1.02,0.68,1.09,0.52
baadengine.csv,0.34,0.91,0.91,0.7,0.84,1.0,0.81,0.59,0.73,0.96,0.37,0.94,0.75,0.53,1.0,1.0,0.85,0.61,0.54,0.68
biopax.csv,1.0,1.0,1.0,1.0,1.0,0.91,1.0,0.99,1.0,0.98,1.0,1.0,1.0,1.0,0.62,0.6,1.0,0.2,0.85,1.0
crux-framework.csv,0.9,1.0,0.95,0.3,0.62,1.0,0.83,0.85,0.95,0.55,0.67,0.85,0.81,1.0,0.79,0.79,1.01,0.97,0.77,0.14
dataobjectsdotnet.csv,0.9,0.93,1.03,0.42,0.82,0.65,0.67,0.76,0.69,0.67,0.8,0.67,0.55,0.37,0.98,0.74,0.68,0.59,1.0,0.72
exl.csv,0.75,0.71,1.02,0.76,0.81,0.55,0.71,0.72,0.54,0.57,0.82,0.79,0.74,0.93,0.8,0.82,0.44,0.78,0.28,0.78
gdis.csv,0.5,0.86,0.91,1.23,0.63,0.77,0.81,0.61,0.73,0.69,0.75,0.8,0.7,0.61,0.19,0.63,1.05,0.51,0.48,0.67
gogoego.csv,0.5,1.0,1.05,0.4,0.86,0.52,0.58,0.76,0.59,0.63,0.76,0.89,0.66,0.7,0.44,0.59,0.79,0.61,0.42,1.03
httpcontentparser.csv,0.84,0.97,0.84,1.06,0.97,0.87,0.65,0.76,0.3,0.67,0.79,0.67,0.73,0.75,1.0,0.67,0.63,0.48,0.57,0.55
impala.csv,0.96,0.65,0.82,0.6,0.68,0.77,0.79,0.88,0.79,0.67,0.64,0.48,0.77,1.02,0.67,0.58,1.05,0.83,0.54,0.68
jgameai.csv,0.96,0.31,0.99,1.0,0.52,1.0,0.94,0.94,0.97,1.04,1.0,1.0,0.98,1.0,0.99,1.0,1.0,0.97,1.0,1.0
loki-lib.csv,0.52,0.71,0.84,0.74,0.72,0.94,0.65,0.82,0.51,0.72,0.62,0.65,0.74,0.69,0.69,0.38,0.72,0.84,0.74,0.77
snakeyaml.csv,0.8,1.1,0.92,0.33,0.82,0.4,0.77,0.68,0.81,0.55,0.35,0.89,0.75,0.88,0.48,0.97,0.79,0.72,0.4,0.77
tart.csv,0.78,1.04,1.17,0.24,0.89,0.94,0.67,0.61,0.57,0.29,0.51,0.77,0.78,0.76,0.93,1.0,0.69,0.68,0.37,0.72
vars-redux.csv,1.0,0.99,1.2,0.62,0.78,0.77,0.71,0.42,0.67,0.65,0.84,0.89,0.67,0.46,0.42,0.86,0.88,0.55,0.37,0.72
werx.csv,0.99,0.83,0.03,1.0,1.0,1.0,0.96,0.92,0.99,0.99,0.99,0.96,1.0,0.98,1.0,1.0,1.0,1.01,0.91,0.94
xbg.csv,0.56,0.87,0.97,1.01,1.0,0.95,0.88,0.96,0.86,1.01,0.84,0.77,0.86,0.3,0.94,0.86,1.21,0.91,0.91,1.01
xqilla.csv,0.97,1.03,0.68,0.17,0.82,1.0,0.76,0.81,0.75,0.63,0.67,0.85,0.71,0.93,0.88,0.94,0.06,0.97,0.95,0.76
zealos.csv,0.88,0.8,0.9,1.02,0.77,0.38,0.88,0.86,1.0,1.0,1.0,1.0,0.96,1.0,0.77,0.97,1.0,0.97,0.98,0.43
