,jajuk.csv,autoopencas.csv,decidr.csv,columba.csv
autoopencas.csv,0.98,0.37,0.91,0.88
columba.csv,0.38,0.93,0.5,0.41
decidr.csv,0.62,0.86,0.35,0.54
jajuk.csv,0.28,0.69,0.95,0.97
