,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,archive-crawler.csv,impala.csv,gdis.csv
archive-crawler.csv,0.81,0.0,0.85,0.0,0.52,0.3,0.38,0.33,0.2,0.7,1.0,0.0,0.87
avifile.csv,0.4,1.0,1.0,0.0,0.3,0.31,0.0,0.08,0.17,0.2,0.0,0.05,0.0
baadengine.csv,1.0,0.0,0.97,0.02,0.72,0.29,0.55,0.29,0.18,0.56,0.33,0.1,0.87
gdis.csv,0.78,0.04,0.98,0.02,0.65,0.3,0.38,0.25,0.18,0.4,0.33,0.12,0.98
gogoego.csv,0.81,0.0,1.0,0.0,0.59,0.31,0.42,1.0,0.3,0.39,0.38,0.07,0.85
impala.csv,0.64,0.0,1.0,0.01,0.57,0.29,0.0,0.24,0.17,0.6,0.27,1.0,0.72
jgameai.csv,0.65,0.12,1.0,0.0,0.61,1.0,0.25,0.21,0.11,0.5,0.33,0.09,0.6
jhotdraw.csv,0.9,0.33,1.0,0.0,0.64,0.2,0.0,0.33,1.0,0.0,0.29,0.09,0.86
patterntesting.csv,0.86,0.03,0.96,0.0,0.71,0.32,0.53,0.28,0.3,0.97,0.27,0.11,0.88
pokeglobal.csv,0.78,0.07,0.99,0.02,1.0,0.31,0.31,0.28,0.16,0.32,0.33,0.11,0.81
werx.csv,0.75,0.07,1.0,0.01,0.59,0.29,0.31,0.24,0.18,0.39,0.29,0.12,0.81
zealos.csv,0.84,0.08,0.97,0.0,0.56,0.42,1.0,0.28,0.16,0.5,0.26,0.1,0.78
