,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,archive-crawler.csv,impala.csv,gdis.csv
archive-crawler.csv,0.41,0.0,0.06,0.0,0.34,0.46,0.27,0.4,0.24,0.47,1.0,0.0,0.35
avifile.csv,0.05,0.8,0.16,0.0,0.07,0.38,0.0,0.02,0.08,0.1,0.0,0.04,0.0
baadengine.csv,0.99,0.0,0.7,1.0,0.56,0.31,0.8,0.72,0.77,0.63,0.83,0.52,0.84
gdis.csv,0.81,0.4,0.72,1.0,0.85,0.54,0.97,0.9,0.9,1.0,0.78,0.96,1.0
gogoego.csv,0.13,0.0,0.05,0.0,0.24,0.54,0.33,0.93,0.34,0.23,0.22,0.08,0.6
impala.csv,0.28,0.0,0.02,1.0,0.93,0.92,0.0,0.93,0.81,0.1,0.3,0.92,0.4
jgameai.csv,0.07,0.8,0.06,0.0,0.34,1.0,0.7,0.64,0.08,0.23,0.09,0.12,0.05
jhotdraw.csv,0.02,0.2,0.04,0.0,0.34,0.04,0.0,0.2,0.9,0.0,0.09,0.04,0.11
patterntesting.csv,0.2,0.2,0.35,0.0,0.41,0.23,0.6,0.52,0.53,1.0,0.39,0.36,0.77
pokeglobal.csv,0.77,0.6,0.65,1.0,0.98,0.62,1.0,0.55,0.63,0.2,0.78,0.56,0.98
werx.csv,1.0,1.0,0.99,1.0,1.0,1.0,1.0,0.95,1.0,1.0,1.0,1.0,1.0
zealos.csv,0.32,0.4,0.73,0.0,0.37,0.69,1.0,0.59,0.45,0.57,0.52,0.32,0.37
