,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,v8.csv,fluent-nhibernate.csv
encog-java.csv,0.93,0.09,0.77,0.09,0.43,0.53
fluent-nhibernate.csv,0.16,0.11,0.06,0.05,0.04,1.0
h2database.csv,0.39,0.89,0.03,0.03,0.12,0.24
jaql.csv,0.59,0.47,0.37,0.99,0.38,0.59
raven-monitoring.csv,0.59,0.32,0.91,0.52,0.64,0.06
v8.csv,0.45,0.42,0.4,0.53,1.0,0.71
