,fritzing.csv,aubit4gl.csv,firebreath.csv,patterntesting.csv,mpgravity.csv,httpcontentparser.csv,bibedt.csv,roller.csv,cascading.csv,xfce.csv
aubit4gl.csv,0.43,0.35,0.41,0.44,0.38,0.45,0.39,0.34,0.39,0.46
bibedt.csv,0.45,0.0,0.96,0.75,0.73,0.86,0.88,0.71,0.95,0.93
cascading.csv,0.75,0.0,0.0,0.45,0.0,0.95,0.51,0.92,0.41,0.0
firebreath.csv,0.46,0.0,0.65,0.44,0.0,0.47,0.39,0.38,0.39,0.0
fritzing.csv,0.49,0.0,0.94,0.44,0.0,0.47,0.39,0.36,0.42,0.0
httpcontentparser.csv,0.5,0.0,0.0,0.79,0.0,0.8,0.39,0.88,0.69,0.0
mpgravity.csv,0.43,0.0,0.41,0.44,0.89,0.45,0.4,0.34,0.39,0.44
patterntesting.csv,0.0,0.0,0.0,0.54,0.0,0.0,0.83,0.0,0.0,0.0
roller.csv,0.55,0.0,0.92,0.44,0.0,0.54,0.39,0.42,0.41,0.0
xfce.csv,0.43,0.0,0.41,0.44,0.46,0.45,0.39,0.34,0.39,0.44
