,lazarus-ccr.csv,migen.csv,mvnforum.csv,plplot.csv,lcfizvtop.csv
lazarus-ccr.csv,0.79,0.55,0.53,0.39,0.15
lcfizvtop.csv,0.44,0.68,0.38,0.44,0.62
migen.csv,0.49,0.66,0.07,0.33,0.36
mvnforum.csv,0.08,0.37,0.46,0.34,0.1
plplot.csv,0.6,0.58,0.36,0.53,0.24
