,lazarus-ccr.csv,migen.csv,mvnforum.csv,plplot.csv,lcfizvtop.csv
lazarus-ccr.csv,0.8,0.58,0.72,0.56,0.32
lcfizvtop.csv,0.46,0.73,0.51,0.59,0.82
migen.csv,0.45,0.68,0.07,0.33,0.41
mvnforum.csv,0.05,0.33,0.53,0.49,0.11
plplot.csv,0.48,0.6,0.43,0.6,0.31
