,google-collections.csv,dsworkbench.csv,autofac.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,exist.csv,octet.csv,jchassis.csv,ambulant.csv,coot.csv,emono.csv,thedata.csv
ambulant.csv,0.97,0.86,0.5,0.74,0.3,0.46,0.57,0.12,0.03,0.59,0.55,0.65,0.05
autofac.csv,0.96,1.0,0.73,0.7,0.45,0.31,0.62,0.11,0.04,0.46,0.62,0.79,0.0
coot.csv,0.97,1.0,0.5,0.7,0.3,0.35,0.0,0.1,0.03,0.53,0.72,0.7,0.06
dsworkbench.csv,1.0,0.92,0.4,1.0,0.33,0.55,0.47,0.0,0.0,0.29,0.43,0.68,0.0
emono.csv,0.96,0.64,0.35,0.71,0.27,0.33,0.57,0.06,0.03,0.46,0.55,0.72,0.07
exist.csv,0.97,0.75,0.48,0.75,0.27,0.37,0.81,0.11,0.02,0.44,0.53,0.68,0.1
freelords.csv,0.98,0.78,0.61,0.8,0.39,0.33,0.57,0.19,0.04,0.46,0.53,0.63,0.04
google-collections.csv,1.0,0.76,0.47,0.74,0.29,0.35,0.57,0.12,0.03,0.38,0.52,0.66,0.06
jchassis.csv,1.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.25,0.0,0.0,0.0,0.0
jpaul.csv,1.0,0.73,0.71,0.86,0.56,0.2,0.47,0.2,0.11,0.61,0.33,0.0,0.0
neodatis-odb.csv,0.94,1.0,0.43,0.69,0.15,0.58,0.62,0.14,0.03,0.5,0.74,0.82,0.17
octet.csv,0.98,0.79,0.41,0.82,0.26,0.55,0.56,0.36,0.0,0.33,0.52,0.65,0.07
thedata.csv,0.97,0.82,0.46,0.71,0.25,0.36,0.58,0.09,0.0,0.5,0.58,0.68,0.5
