,ns-3.csv,grafx2.csv,sylpheed-claws.csv,minig.csv,omseek.csv,megameknet.csv,kmess.csv,google-gears.csv,ftm.csv,xamj.csv,quickfast.csv
ftm.csv,0.83,0.32,0.5,0.9,0.66,0.63,0.51,0.59,0.42,0.46,0.69
google-gears.csv,0.56,0.51,0.44,0.39,0.48,0.54,0.39,0.48,0.46,0.58,0.4
grafx2.csv,0.68,0.34,0.54,0.92,0.47,0.53,0.37,0.53,0.54,0.71,0.61
kmess.csv,0.75,0.67,0.45,0.67,0.68,0.97,0.47,0.92,0.56,0.77,0.87
megameknet.csv,0.58,0.52,0.45,0.53,0.49,0.51,0.43,0.51,0.55,0.52,0.44
minig.csv,0.42,0.6,0.81,0.43,0.46,0.48,0.46,0.51,0.94,0.45,0.74
ns-3.csv,0.44,0.55,0.34,0.5,0.53,0.44,0.38,0.45,0.89,0.5,0.31
omseek.csv,0.96,0.0,0.95,0.63,0.69,0.96,0.72,0.94,0.5,0.67,0.67
quickfast.csv,0.42,0.52,0.39,0.37,0.45,0.49,0.41,0.47,0.71,0.44,0.33
sylpheed-claws.csv,0.4,0.53,0.45,0.35,0.43,0.48,0.41,0.46,0.42,0.39,0.38
xamj.csv,0.41,0.4,0.36,0.49,0.42,0.48,0.36,0.43,0.46,0.51,0.35
