,ns-3.csv,grafx2.csv,sylpheed-claws.csv,minig.csv,omseek.csv,megameknet.csv,kmess.csv,google-gears.csv,ftm.csv,xamj.csv,quickfast.csv
ftm.csv,183.0,97.5,96.5,84.5,94.5,99.0,99.0,98.5,97.5,99.0,96.5
google-gears.csv,196.0,97.5,99.0,196.0,489.5,99.0,99.0,99.0,295.0,99.0,96.5
grafx2.csv,99.0,97.5,96.5,193.0,587.0,99.0,99.0,98.5,94.5,99.0,96.5
kmess.csv,99.0,177.0,96.5,199.5,193.5,99.0,98.5,98.5,295.0,99.0,96.5
megameknet.csv,99.0,97.5,99.0,196.0,587.0,99.0,99.0,99.0,192.0,99.0,98.5
minig.csv,99.0,97.5,477.5,196.0,588.0,99.0,99.0,99.0,22.5,99.0,96.5
ns-3.csv,99.0,97.5,99.0,196.0,584.5,99.0,99.0,97.5,156.0,98.5,98.5
omseek.csv,98.5,0.0,178.0,96.5,193.5,98.5,98.5,98.5,94.5,97.5,96.5
quickfast.csv,99.0,97.5,99.0,196.0,782.0,99.0,99.0,99.0,94.5,98.5,98.5
sylpheed-claws.csv,99.0,97.5,99.0,196.0,782.0,99.0,99.0,99.0,295.0,99.0,98.5
xamj.csv,99.0,97.5,99.0,196.0,782.0,99.0,99.0,99.0,95.5,99.0,98.5
