,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,jguard.csv,wishmaster.csv,st-filteredstatistics.csv,m-a-d-n-e-s-s.csv,yarp.csv
bloodycore.csv,0.24,0.06,0.35,0.61,0.11,0.07,0.0,0.03,0.08,0.04
flylegacy.csv,0.76,0.3,0.63,0.49,0.39,0.8,0.71,0.33,0.96,0.24
jguard.csv,0.8,0.24,0.87,0.71,0.67,0.7,0.64,0.77,0.96,0.48
m-a-d-n-e-s-s.csv,0.2,0.03,0.25,0.13,0.05,0.03,0.07,0.08,0.68,0.12
mob-sen-plat.csv,0.92,0.73,0.92,0.63,0.81,0.73,0.79,0.79,0.96,0.6
raygina.csv,0.64,0.0,0.57,0.49,0.19,0.3,0.21,0.31,0.24,0.44
st-filteredstatistics.csv,1.0,0.52,0.95,0.94,0.73,0.87,0.93,0.82,1.0,0.84
upp-mirror.csv,0.2,0.0,0.57,0.46,0.66,0.33,0.21,0.44,0.48,0.4
wishmaster.csv,0.24,0.09,0.4,0.36,0.56,0.47,0.71,0.1,0.52,0.4
yarp.csv,0.32,0.0,0.4,0.19,0.03,0.53,0.29,0.26,0.48,0.56
