,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,jguard.csv,wishmaster.csv,st-filteredstatistics.csv,m-a-d-n-e-s-s.csv,yarp.csv
bloodycore.csv,0.14,0.15,0.41,0.25,0.12,0.07,0.08,0.15,0.02,0.0
flylegacy.csv,0.47,0.15,0.36,0.38,0.39,0.66,0.52,0.08,0.8,0.21
jguard.csv,0.63,0.1,0.64,0.5,0.46,0.32,0.64,0.31,0.75,0.24
m-a-d-n-e-s-s.csv,0.09,0.0,0.18,0.09,0.07,0.05,0.03,0.0,0.22,0.16
mob-sen-plat.csv,0.77,0.2,0.86,0.64,0.76,0.75,0.59,0.62,0.73,0.55
raygina.csv,0.26,0.0,0.5,0.51,0.17,0.3,0.18,0.08,0.17,0.39
st-filteredstatistics.csv,0.95,0.25,1.0,0.92,0.63,0.66,0.97,0.23,0.97,0.84
upp-mirror.csv,0.26,0.0,0.5,0.22,0.34,0.23,0.23,0.54,0.22,0.32
wishmaster.csv,0.21,0.2,0.45,0.26,0.39,0.68,0.26,0.15,0.2,0.37
yarp.csv,0.12,0.0,0.36,0.19,0.05,0.68,0.2,0.23,0.32,0.29
