,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,jguard.csv,wishmaster.csv,st-filteredstatistics.csv,m-a-d-n-e-s-s.csv,yarp.csv
bloodycore.csv,0.28,0.07,0.38,0.63,0.13,0.09,0.0,0.04,0.1,0.05
flylegacy.csv,0.7,0.34,0.63,0.51,0.42,0.63,0.65,0.38,0.55,0.28
jguard.csv,0.65,0.28,0.68,0.65,0.64,0.7,0.55,0.75,0.61,0.52
m-a-d-n-e-s-s.csv,0.24,0.04,0.29,0.16,0.06,0.04,0.09,0.1,0.7,0.14
mob-sen-plat.csv,0.57,0.74,0.44,0.55,0.55,0.53,0.67,0.65,0.64,0.56
raygina.csv,0.66,0.0,0.55,0.49,0.22,0.34,0.25,0.36,0.28,0.47
st-filteredstatistics.csv,0.21,0.55,0.0,0.3,0.61,0.66,0.13,0.81,0.13,0.45
upp-mirror.csv,0.23,0.0,0.55,0.5,0.66,0.37,0.25,0.44,0.52,0.44
wishmaster.csv,0.28,0.11,0.42,0.4,0.57,0.43,0.72,0.12,0.56,0.43
yarp.csv,0.37,0.0,0.43,0.22,0.04,0.47,0.33,0.3,0.51,0.58
