,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,jguard.csv,wishmaster.csv,st-filteredstatistics.csv,m-a-d-n-e-s-s.csv,yarp.csv
bloodycore.csv,0.5,0.4,0.71,0.31,0.58,0.33,0.0,0.33,0.67,1.0
flylegacy.csv,0.49,0.77,0.83,0.19,0.61,0.39,0.24,0.93,0.33,0.43
jguard.csv,0.43,0.8,0.8,0.2,0.69,0.54,0.19,0.88,0.35,0.57
m-a-d-n-e-s-s.csv,0.56,1.0,0.8,0.21,0.5,0.25,0.33,1.0,0.57,0.33
mob-sen-plat.csv,0.41,0.86,0.75,0.15,0.63,0.34,0.23,0.79,0.35,0.42
raygina.csv,0.59,0.0,0.77,0.15,0.63,0.35,0.21,0.92,0.38,0.42
st-filteredstatistics.csv,0.38,0.77,0.73,0.16,0.64,0.41,0.18,0.91,0.3,0.4
upp-mirror.csv,0.31,0.0,0.77,0.27,0.75,0.43,0.18,0.71,0.48,0.45
wishmaster.csv,0.4,0.43,0.71,0.2,0.69,0.27,0.38,0.67,0.52,0.42
yarp.csv,0.62,0.0,0.76,0.15,0.5,0.3,0.25,0.77,0.39,0.56
