,jahshakafx.csv,electric-core.csv,jython.csv,popeye-chess.csv,mvnforum.csv,plplot.csv,openmalaria.csv,dspace-gsoc.csv,kftpgrabber.csv,zxing.csv
dspace-gsoc.csv,0.68,0.4,0.2,0.58,0.41,0.52,0.46,0.78,0.54,0.84
electric-core.csv,0.42,0.48,0.57,0.72,0.44,0.44,0.58,0.68,0.56,0.68
jahshakafx.csv,0.68,0.49,0.64,0.63,0.41,0.53,0.6,0.57,0.57,0.81
jython.csv,0.4,0.39,0.61,0.22,0.19,0.22,0.39,0.42,0.46,0.46
kftpgrabber.csv,0.62,0.37,0.17,0.67,0.25,0.39,0.05,0.4,0.7,0.84
mvnforum.csv,0.12,0.14,0.56,0.47,0.51,0.39,0.18,0.33,0.24,0.29
openmalaria.csv,0.65,0.41,0.24,0.69,0.43,0.46,0.74,0.8,0.56,0.86
plplot.csv,0.51,0.36,0.17,0.36,0.3,0.62,0.39,0.53,0.64,0.61
popeye-chess.csv,0.52,0.5,0.43,0.69,0.27,0.44,0.58,0.42,0.52,0.72
zxing.csv,0.59,0.5,0.58,0.56,0.55,0.37,0.5,0.14,0.62,0.82
