,recall,precision,pf,pci_20,ifa,wins
dspace-gsoc.csv,0.7150000000000001,0.5549999999999999,0.365,0.375,1.0,7
electric-core.csv,0.775,0.405,0.5900000000000001,0.495,3.5,1
jahshakafx.csv,0.625,0.565,0.26,0.4,2.5,6
jython.csv,0.33,0.43,0.21000000000000002,0.81,2.0,4
kftpgrabber.csv,0.62,0.49,0.42,0.4,1.0,3
mvnforum.csv,0.245,0.325,0.325,0.905,5.5,0
openmalaria.csv,0.815,0.475,0.45,0.36,2.0,2
plplot.csv,0.48,0.575,0.26,0.46499999999999997,1.0,8
popeye-chess.csv,0.525,0.525,0.25,0.49,2.0,5
zxing.csv,0.5549999999999999,0.555,0.185,0.53,1.0,9
