,hatari.csv,nullc.csv,superwaba.csv,lmms.csv,etherboot.csv,vienna-add-in.csv,voms.csv,tycho.csv,fityk.csv,mecat.csv,wsmt.csv,oscarmcmaster.csv
etherboot.csv,0.57,0.61,0.91,0.56,0.82,0.67,0.85,0.89,0.9,0.5,0.65,0.6
fityk.csv,0.41,0.67,0.46,0.54,0.55,0.51,0.52,0.69,0.43,0.42,0.38,0.47
hatari.csv,0.58,0.92,0.43,0.69,0.47,0.7,0.56,0.8,0.58,0.35,0.56,0.57
lmms.csv,0.51,0.52,0.88,0.5,0.5,0.5,0.5,0.49,0.41,0.57,0.82,0.66
mecat.csv,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0
nullc.csv,0.44,0.46,0.57,0.42,0.46,0.58,0.81,0.53,0.35,0.38,0.52,0.67
oscarmcmaster.csv,0.0,0.86,0.6,0.94,0.88,0.95,0.9,0.92,0.83,0.5,0.38,0.96
superwaba.csv,0.55,0.53,0.53,0.49,0.54,0.61,0.58,0.52,0.43,0.46,0.49,0.52
tycho.csv,0.88,0.86,0.64,0.89,0.83,0.66,0.8,0.54,0.71,0.37,0.61,0.7
vienna-add-in.csv,0.4,0.44,0.52,0.78,0.41,0.53,0.72,0.75,0.93,0.38,0.86,0.44
voms.csv,0.93,0.0,0.95,0.86,0.0,0.75,0.89,0.0,0.0,0.67,0.5,0.9
wsmt.csv,0.86,0.83,0.95,0.96,0.8,0.95,0.0,0.8,0.9,0.9,0.62,0.97
