,hatari.csv,nullc.csv,superwaba.csv,lmms.csv,etherboot.csv,vienna-add-in.csv,voms.csv,tycho.csv,fityk.csv,mecat.csv,wsmt.csv,oscarmcmaster.csv
etherboot.csv,0.61,0.64,0.13,0.32,0.0,0.34,0.17,0.14,0.18,0.5,0.47,0.51
fityk.csv,0.39,0.91,0.82,0.48,0.74,0.76,0.56,0.46,0.0,0.58,0.77,0.65
hatari.csv,0.0,0.36,0.79,0.34,0.72,0.34,0.42,0.14,0.23,0.77,0.6,0.37
lmms.csv,0.56,0.82,0.26,0.0,0.67,0.34,0.3,0.68,0.86,0.35,0.23,0.25
mecat.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nullc.csv,0.81,0.0,0.33,0.68,0.74,0.34,0.21,0.79,1.0,0.52,0.57,0.22
oscarmcmaster.csv,0.03,0.27,0.38,0.07,0.1,0.22,0.09,0.25,0.09,0.03,0.7,0.0
superwaba.csv,0.28,0.73,0.0,0.42,0.44,0.32,0.29,0.46,0.32,0.55,0.57,0.46
tycho.csv,0.39,0.0,0.37,0.3,0.08,0.29,0.17,0.0,0.45,0.77,0.4,0.31
vienna-add-in.csv,0.92,0.55,0.66,0.36,0.82,0.0,0.64,0.14,0.23,0.73,0.17,0.64
voms.csv,0.28,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.03
wsmt.csv,0.08,0.18,0.15,0.14,0.36,0.29,0.02,0.07,0.14,0.17,0.0,0.2
