,nova.csv,crisscross.csv,mb-unit.csv,libopenmetaverse.csv,betoffice.csv,ldview.csv,mvdsv.csv,jitterbit.csv,tolven.csv,gwanted.csv,codepurge.csv,olex2.csv,elvishrayrenderer.csv
betoffice.csv,0.95,0.84,0.96,0.94,0.53,0.84,1.0,0.5,0.79,0.62,0.91,0.85,0.67
codepurge.csv,0.05,0.56,0.11,0.86,0.09,0.32,0.56,0.5,0.48,0.12,0.26,0.42,0.44
crisscross.csv,1.0,0.35,0.89,1.0,0.87,0.86,1.0,0.92,0.73,0.81,0.41,0.99,1.0
elvishrayrenderer.csv,0.0,0.2,0.19,0.97,0.02,0.41,1.0,0.12,0.58,0.15,0.13,0.34,0.17
gwanted.csv,0.02,0.21,0.48,0.03,0.2,0.14,0.1,0.19,0.07,0.18,0.17,0.23,0.17
jitterbit.csv,0.0,0.73,0.61,0.43,0.24,0.08,0.7,0.21,0.78,0.43,0.45,0.54,0.44
ldview.csv,0.48,0.49,0.49,0.97,0.69,0.38,0.97,0.48,0.48,0.29,0.1,0.11,0.89
libopenmetaverse.csv,1.0,0.94,0.96,0.29,1.0,0.81,0.68,0.94,0.96,1.0,0.86,0.96,0.83
mb-unit.csv,0.14,0.37,0.45,0.66,0.53,0.05,0.94,0.4,0.68,0.37,0.12,0.32,0.78
mvdsv.csv,0.32,0.0,0.08,0.14,0.16,0.03,0.03,0.06,0.02,0.19,0.03,0.01,0.06
nova.csv,0.2,0.63,0.47,0.71,0.76,0.84,0.56,0.79,0.53,0.44,0.81,0.77,0.67
olex2.csv,0.5,0.36,0.52,0.09,0.24,0.03,0.3,0.17,0.34,0.31,0.19,0.25,0.22
tolven.csv,0.45,0.04,0.23,0.46,0.09,0.08,0.41,0.12,0.23,0.22,0.25,0.41,0.39
