,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,quark.csv,pnotepad.csv
bacnet.csv,0.6,0.12,0.84,0.26,0.86,0.45,0.66,0.52,1.0,0.35
gamestone.csv,0.05,0.88,0.18,0.42,0.07,0.0,0.0,0.0,0.08,0.08
gbif-providertoolkit.csv,0.38,0.0,0.34,0.0,0.71,0.39,0.24,0.52,0.15,0.65
heekscad.csv,0.81,0.75,0.62,0.61,0.79,0.61,0.79,0.6,1.0,0.79
igarden.csv,0.66,0.25,0.34,0.68,0.57,0.51,0.42,0.56,1.0,0.52
levent.csv,0.69,0.12,0.16,0.1,0.86,0.71,0.58,0.12,0.0,0.27
owlapi.csv,0.58,0.0,0.3,0.06,0.71,0.61,0.79,0.8,0.77,0.62
pnotepad.csv,0.6,0.88,0.88,1.0,0.86,0.61,0.61,0.68,1.0,0.88
quark.csv,0.31,0.12,0.3,0.06,0.14,0.02,0.03,0.24,0.85,0.17
xcsoar.csv,0.66,0.25,0.7,0.65,0.71,0.39,0.42,0.44,1.0,0.21
