,simplewebservices.csv,gpsmid.csv,yafdotnet.csv,lphant.csv,xtreemfs.csv,rectracker.csv,javagroups.csv,jvcl.csv
gpsmid.csv,0.75,0.13,0.53,1.0,0.44,0.74,0.76,0.98
javagroups.csv,0.34,0.05,0.14,0.94,0.25,0.07,0.28,0.95
jvcl.csv,0.87,0.08,0.08,0.03,0.03,0.3,0.04,0.24
lphant.csv,0.51,0.53,0.32,0.27,0.36,0.37,0.87,0.46
rectracker.csv,0.72,0.89,0.98,0.91,0.97,0.11,0.75,1.0
simplewebservices.csv,0.33,0.55,0.78,0.97,0.69,0.93,0.79,0.21
xtreemfs.csv,0.44,0.45,0.5,0.79,0.28,0.22,0.81,0.52
yafdotnet.csv,0.13,0.24,0.29,0.61,0.49,0.7,0.7,0.47
