,simplewebservices.csv,gpsmid.csv,yafdotnet.csv,lphant.csv,xtreemfs.csv,rectracker.csv,javagroups.csv,jvcl.csv
gpsmid.csv,0.55,0.83,0.58,0.57,0.9,0.72,0.54,0.18
javagroups.csv,0.51,0.43,0.45,0.55,0.68,0.29,0.62,0.19
jvcl.csv,0.57,0.56,0.24,0.52,0.09,0.46,0.08,0.27
lphant.csv,0.48,0.81,0.55,0.65,0.58,0.78,0.54,0.22
rectracker.csv,0.52,0.7,0.59,0.58,0.91,0.9,0.49,0.18
simplewebservices.csv,0.63,0.76,0.59,0.58,0.85,0.67,0.52,0.16
xtreemfs.csv,0.58,0.74,0.58,0.55,0.9,0.43,0.46,0.16
yafdotnet.csv,0.45,0.74,0.65,0.5,0.41,0.73,0.56,0.23
