,gtad.csv,wgs-assembler.csv,nh3d.csv,jvcl.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,taokgame.csv,scen-connect.csv,htmlunit.csv,jaxen.csv,emulemorph.csv,jsr308-langtools.csv,continuum-ide.csv,motu.csv,anaxagora.csv,carabiner.csv,free-evolution.csv,jfreechart.csv
anaxagora.csv,1.02,0.8,0.75,0.93,0.94,0.83,0.76,0.92,0.67,1.0,0.89,0.85,0.53,0.74,0.96,0.73,0.19,0.78,0.91,1.02
blogentis.csv,0.52,0.85,0.96,0.92,0.91,0.91,0.04,0.86,1.06,0.52,0.61,0.87,0.76,0.83,0.57,0.66,0.65,0.84,0.79,0.33
carabiner.csv,1.18,0.76,0.94,0.95,0.61,0.6,0.57,0.89,0.77,0.39,0.71,0.63,0.95,0.78,0.74,0.46,0.72,0.0,0.68,0.38
continuum-ide.csv,1.0,0.96,1.03,0.76,1.07,0.94,0.75,0.89,0.91,0.23,0.62,0.64,0.84,0.67,0.06,0.86,0.93,0.82,0.84,1.04
emulemorph.csv,1.0,0.83,1.0,0.8,1.0,1.05,0.86,1.0,0.92,1.0,1.0,1.0,0.17,1.0,1.0,1.0,1.0,0.96,1.0,1.0
free-evolution.csv,0.6,0.65,0.74,0.68,0.76,0.5,0.75,0.82,0.81,1.0,0.67,0.61,0.62,0.42,0.57,0.58,0.78,0.69,0.15,1.33
gtad.csv,0.0,0.9,1.0,1.0,0.94,0.64,0.92,1.0,1.0,0.07,0.98,0.23,0.83,0.93,0.96,0.7,0.73,0.86,0.94,1.0
htmlunit.csv,0.72,0.76,0.76,0.81,0.7,0.65,0.69,0.83,0.72,0.74,0.11,0.43,0.55,0.59,0.72,0.87,0.86,0.85,0.88,1.13
jaxen.csv,0.58,0.75,0.57,0.6,0.42,0.8,0.68,0.67,0.29,1.0,0.63,0.0,0.62,0.83,0.75,0.77,0.77,0.75,0.81,1.17
jsr308-langtools.csv,0.63,0.67,0.95,1.0,0.65,0.45,0.59,0.64,0.99,1.03,0.56,0.45,0.74,0.0,0.64,0.51,0.6,0.67,0.56,1.07
jvcl.csv,1.0,1.0,1.0,0.12,1.0,1.0,1.02,1.0,0.9,1.01,0.96,0.82,1.0,0.97,0.82,1.01,0.96,0.96,1.0,1.0
kaffeine.csv,1.03,0.97,1.0,0.86,0.09,0.54,0.63,0.96,0.7,0.97,0.71,0.62,0.93,0.42,0.87,0.85,0.72,0.67,0.9,0.69
m-m-m.csv,0.99,0.73,0.95,0.99,1.0,0.86,1.0,0.0,0.79,0.67,0.86,0.98,0.86,0.9,0.85,0.61,0.9,1.0,0.93,0.9
motu.csv,0.32,0.69,0.99,0.75,0.9,0.82,0.58,0.79,1.08,0.03,0.56,0.61,1.04,0.46,0.73,0.0,0.73,0.91,1.0,0.43
nh3d.csv,1.0,1.0,0.0,0.77,0.84,0.59,0.76,0.84,0.1,0.41,0.75,0.47,0.53,0.53,0.68,0.6,0.74,0.88,0.79,1.01
sarasvati.csv,0.04,0.98,1.0,0.83,0.92,0.09,0.88,0.92,0.9,1.0,0.68,0.33,1.0,0.58,0.72,0.71,0.81,1.0,0.82,1.0
taokgame.csv,0.56,1.0,1.0,0.88,0.9,0.83,0.89,0.98,0.0,1.02,0.98,0.8,1.03,0.9,0.9,0.93,0.73,1.0,0.83,1.0
wgs-assembler.csv,1.02,0.08,0.51,0.68,0.86,0.49,0.89,0.98,0.62,0.64,0.77,0.41,1.02,0.55,0.74,0.61,0.55,0.89,0.69,1.06
