,bl-toolkit.csv,aztec.csv,fm-classic.csv,clamav.csv,kml.csv,auber.csv,lufa-lib.csv,qmmp.csv,xapian.csv,xtreemfs.csv,mplayer-ce.csv
auber.csv,0.73,0.09,0.46,0.25,0.26,0.02,0.24,0.44,0.26,0.39,0.22
aztec.csv,0.27,0.0,0.24,0.31,0.26,0.27,0.28,0.02,0.06,0.2,0.7
bl-toolkit.csv,0.0,0.3,0.32,0.19,0.79,0.56,0.98,0.29,0.26,0.46,0.99
clamav.csv,0.23,0.42,0.76,0.03,0.36,0.36,0.28,0.26,0.56,0.56,0.43
fm-classic.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0
kml.csv,0.14,0.24,0.28,0.19,0.0,0.4,0.63,0.21,0.24,0.54,0.56
lufa-lib.csv,0.18,0.22,0.16,0.44,0.44,0.36,0.0,0.13,0.3,0.3,0.29
mplayer-ce.csv,0.91,0.93,0.87,0.89,0.92,0.82,0.8,0.95,0.94,0.85,0.01
qmmp.csv,0.23,0.27,0.74,0.17,0.72,0.53,0.8,0.02,0.26,0.69,0.97
xapian.csv,0.18,0.25,0.63,0.42,0.36,0.24,0.41,0.16,0.0,0.33,0.26
xtreemfs.csv,0.23,0.11,0.56,0.06,0.13,0.47,0.34,0.1,0.14,0.03,0.38
