,bl-toolkit.csv,aztec.csv,fm-classic.csv,clamav.csv,kml.csv,auber.csv,lufa-lib.csv,qmmp.csv,xapian.csv,xtreemfs.csv,mplayer-ce.csv
auber.csv,0.86,0.21,0.67,0.3,0.58,0.99,0.42,0.6,0.54,0.73,0.39
aztec.csv,0.3,0.88,0.67,0.4,0.69,0.27,0.27,0.08,0.08,0.22,0.72
bl-toolkit.csv,0.98,0.67,1.0,0.35,0.94,0.6,0.86,0.59,0.42,0.78,0.98
clamav.csv,0.32,0.58,1.0,1.0,0.56,0.39,0.41,0.49,0.65,0.4,0.48
fm-classic.csv,0.0,0.0,1.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
kml.csv,0.44,0.29,0.33,0.45,0.97,0.72,0.81,0.6,0.58,0.4,0.6
lufa-lib.csv,0.44,0.46,0.0,0.6,0.47,0.43,0.98,0.24,0.27,0.75,0.27
mplayer-ce.csv,0.88,0.75,0.67,0.8,0.75,0.84,0.77,0.84,0.85,0.93,0.96
qmmp.csv,0.52,0.54,1.0,0.3,0.89,0.67,0.98,0.97,0.54,0.89,0.95
xapian.csv,0.48,0.25,1.0,0.5,0.44,0.54,0.45,0.35,0.92,0.76,0.35
xtreemfs.csv,0.56,0.46,0.33,0.15,0.47,0.73,0.42,0.38,0.46,0.99,0.45
