,bl-toolkit.csv,aztec.csv,fm-classic.csv,clamav.csv,kml.csv,auber.csv,lufa-lib.csv,qmmp.csv,xapian.csv,xtreemfs.csv,mplayer-ce.csv
auber.csv,0.74,0.8,0.56,0.74,0.49,0.02,0.63,0.59,0.53,0.48,0.65
aztec.csv,0.75,0.13,0.41,0.67,0.4,0.78,0.78,0.92,0.92,0.81,0.75
bl-toolkit.csv,0.02,0.45,0.32,0.68,0.8,0.69,0.99,0.5,0.63,0.51,0.99
clamav.csv,0.72,0.59,0.76,0.03,0.57,0.71,0.65,0.57,0.66,0.82,0.67
fm-classic.csv,1.0,1.0,0.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0
kml.csv,0.58,0.75,0.72,0.58,0.03,0.49,0.66,0.45,0.49,0.81,0.69
lufa-lib.csv,0.59,0.58,1.01,0.6,0.68,0.67,0.02,0.77,0.79,0.38,0.79
mplayer-ce.csv,0.92,0.97,0.93,0.91,0.96,0.83,0.84,0.96,0.96,0.86,0.04
qmmp.csv,0.53,0.53,0.74,0.72,0.73,0.62,0.8,0.04,0.53,0.7,0.97
xapian.csv,0.55,0.79,0.63,0.65,0.66,0.52,0.69,0.67,0.08,0.4,0.7
xtreemfs.csv,0.5,0.55,0.87,0.85,0.54,0.54,0.67,0.63,0.56,0.04,0.66
