,quarkplusplus.csv,multitude.csv,ngl.csv,qmmp.csv
multitude.csv,0.48,0.0,0.56,0.64
ngl.csv,0.65,0.72,0.02,0.82
qmmp.csv,0.65,0.55,0.63,0.02
quarkplusplus.csv,0.05,0.65,0.54,0.61
