,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,haphazard.csv,ondex.csv
abbot.csv,0.79,0.78,0.03,0.81,0.86,1.0,0.54,0.84,0.85,0.76
haphazard.csv,0.36,0.38,0.67,0.25,0.29,0.53,0.41,0.7,0.62,0.48
jicarilla.csv,0.09,0.0,0.88,0.0,0.0,0.0,0.05,0.43,0.0,0.0
ondex.csv,0.5,0.27,0.0,0.69,0.71,0.05,0.0,0.05,0.62,0.58
optalgtoolkit.csv,0.6,0.57,0.39,0.81,0.57,0.63,0.57,0.95,0.46,0.58
ossim.csv,0.28,0.19,0.27,0.88,0.0,0.37,0.46,0.82,0.31,0.7
projectts.csv,0.79,0.73,0.09,0.44,0.57,0.74,0.68,0.11,0.77,0.55
sabbu.csv,0.74,0.57,0.09,0.62,0.86,0.11,0.43,0.09,0.54,0.76
vxl.csv,0.57,0.43,0.18,0.56,0.29,0.47,0.46,0.18,0.62,0.55
zact.csv,0.41,0.03,0.27,0.44,0.71,0.0,0.16,0.14,0.23,0.42
