,qpe.csv,sepgsql.csv,ldview.csv,monetdb.csv,xpontus.csv,netatalk.csv,fmri-dmt.csv,synergyspace.csv,quark.csv,illumination.csv,gss.csv,olex2.csv,ftm.csv,arm-webradio.csv,fulguro.csv
arm-webradio.csv,0.28,0.07,0.18,0.41,0.04,0.33,0.06,0.31,0.23,0.26,0.32,0.5,0.59,1.0,0.2
fmri-dmt.csv,0.03,0.06,0.0,0.0,0.0,0.0,0.91,0.07,0.0,0.0,0.0,0.06,0.03,0.46,0.0
ftm.csv,0.24,0.02,0.47,0.49,0.06,0.0,0.22,0.24,0.36,0.11,0.35,0.44,0.98,0.0,0.16
fulguro.csv,0.16,0.14,0.0,0.07,0.11,0.0,0.14,0.19,0.24,0.0,0.0,0.27,0.18,0.16,0.84
gss.csv,0.18,0.1,0.57,0.57,0.02,0.44,0.17,0.39,0.36,0.35,0.98,0.63,0.63,0.42,0.24
illumination.csv,0.03,0.0,0.45,0.4,0.0,0.29,0.1,0.34,0.32,0.9,0.67,0.06,0.32,0.18,0.15
ldview.csv,0.12,0.1,1.0,0.49,0.0,0.38,0.08,0.34,0.31,0.28,0.44,0.4,0.39,0.08,0.14
monetdb.csv,0.21,0.1,0.52,0.96,0.05,0.3,0.23,0.23,0.31,0.25,0.47,0.45,0.54,0.44,0.17
netatalk.csv,0.26,0.14,0.38,0.52,0.0,0.96,0.29,0.21,0.34,0.29,0.46,0.48,0.53,0.26,0.17
olex2.csv,0.23,0.15,0.39,0.45,0.03,0.0,0.22,0.27,0.37,0.23,0.61,0.99,0.6,0.29,0.31
qpe.csv,0.96,0.0,0.32,0.38,0.0,0.24,0.1,0.32,0.25,0.42,0.69,0.26,0.61,0.26,0.13
quark.csv,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.92,0.0,0.06,0.03,0.29,0.15,0.0
sepgsql.csv,0.05,0.92,0.0,0.12,0.0,0.0,0.0,0.32,0.0,0.0,0.06,0.09,0.0,0.0,0.1
synergyspace.csv,0.2,0.08,0.42,0.33,0.06,0.12,0.19,1.0,0.27,0.22,0.28,0.36,0.6,0.3,0.19
