,sauerbraten.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,mptvseries.csv,toped.csv,irrlicht.csv,qse.csv,truevision.csv,zoolib.csv,openfrag.csv,auber.csv,moast.csv,uwom.csv,zxing.csv,genoviz.csv
auber.csv,98.5,193.0,1138.5,568.0,94.5,1233.5,97.5,99.0,97.5,283.5,2072.0,1878.0,99.0,389.0,474.0,98.5,180.0
delphilhlplib.csv,98.5,193.0,188.0,763.5,545.0,533.5,97.5,98.5,97.5,92.5,2013.5,77.5,99.0,391.5,372.5,98.5,194.0
exordium.csv,98.5,192.0,283.5,90.5,192.0,778.0,97.5,98.5,94.5,191.0,2617.0,156.0,99.0,280.0,372.5,98.5,194.0
fltk.csv,98.5,193.0,188.0,380.0,728.0,680.5,97.5,89.5,97.5,92.5,1218.5,175.0,99.0,489.0,557.5,98.5,95.5
genoviz.csv,98.5,193.0,79.5,56.5,170.0,201.5,97.5,89.5,54.5,51.5,150.0,42.5,86.5,96.5,90.5,0.0,95.5
gzigzag.csv,98.5,189.0,90.5,88.5,179.0,356.5,97.5,89.5,97.5,92.5,814.0,77.5,99.0,96.5,189.5,98.5,95.5
irrlicht.csv,98.5,193.0,1137.5,951.5,386.0,1757.0,97.5,99.0,97.5,1061.5,5107.0,1956.5,99.0,685.5,0.0,98.5,194.0
moast.csv,236.5,95.5,278.5,380.5,386.0,638.5,97.5,99.0,97.5,776.0,2864.5,160.0,99.0,386.5,1723.0,93.5,95.5
mptvseries.csv,98.5,189.0,445.5,162.0,183.0,585.0,97.5,98.5,97.5,92.5,1572.0,77.5,97.5,88.5,465.0,98.5,95.5
openfrag.csv,98.5,193.0,760.5,662.5,358.0,537.5,97.5,98.5,97.5,92.5,2668.5,77.5,99.0,389.0,653.0,98.5,95.5
qse.csv,95.5,193.0,946.5,90.5,192.0,632.5,97.5,99.0,97.5,89.5,2528.5,867.0,197.0,489.5,375.5,98.5,372.0
sauerbraten.csv,98.5,94.5,1233.0,858.0,823.5,1587.0,97.5,99.0,97.5,773.0,1169.5,1956.5,99.0,575.5,6102.0,98.5,95.5
toped.csv,98.5,193.0,751.0,852.5,826.5,1234.0,97.5,93.5,97.5,1055.5,679.5,564.5,99.0,586.5,7359.0,98.5,95.5
truevision.csv,98.5,193.0,280.5,479.0,287.5,822.5,97.5,98.5,97.5,92.5,2118.0,238.5,99.0,391.5,556.5,98.5,194.0
uwom.csv,98.5,189.0,473.5,381.5,178.0,1078.5,91.5,98.5,94.5,92.5,774.5,77.5,99.0,134.5,753.5,165.0,194.0
zoolib.csv,98.5,192.0,187.0,577.5,540.0,133.0,97.5,96.5,97.5,142.0,1111.5,73.5,99.0,685.5,281.0,98.5,273.5
zxing.csv,95.5,189.0,759.5,118.0,453.5,745.0,97.5,96.5,47.5,142.0,982.5,494.0,92.5,194.0,752.5,98.5,273.5
