,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,runuomondains.csv,somap.csv,tigermud.csv,hydrate.csv,cme.csv
algebsql.csv,0.72,0.83,0.6,0.3,0.83,0.83,0.09,0.99,0.66,0.07,0.95,0.17,0.05,1.0,0.27
cme.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.1,0.0,0.0,0.0,0.02
hydrate.csv,0.38,0.33,0.8,0.6,0.91,0.87,0.66,0.98,0.66,0.7,0.56,0.67,0.38,0.58,0.73
ivef-sdk.csv,0.28,0.08,0.5,0.05,0.57,0.0,0.71,0.0,0.79,0.77,0.03,1.0,0.52,0.05,0.62
jmri.csv,0.1,0.08,0.26,0.3,0.38,0.03,0.57,0.09,0.07,0.16,0.22,0.33,0.0,0.16,0.73
jython.csv,0.67,0.25,0.49,0.8,0.79,0.03,0.71,0.05,0.52,0.42,0.68,1.0,0.48,0.47,0.88
kdenlive.csv,0.46,0.58,0.55,0.9,0.66,0.93,0.49,1.0,0.65,0.47,0.95,0.67,0.33,0.79,0.75
opentibia.csv,0.62,0.5,0.52,0.75,0.66,0.17,0.6,0.85,0.24,0.19,0.73,0.17,0.43,0.84,0.65
projectfactory.csv,0.1,0.08,0.27,0.1,0.25,0.37,0.31,1.0,0.52,0.3,0.63,0.0,0.62,0.79,0.27
runuomondains.csv,0.1,0.08,0.29,0.35,0.4,0.17,0.69,0.06,0.11,0.51,0.02,0.0,0.19,0.16,0.4
somap.csv,1.0,1.0,0.91,0.95,0.98,1.0,0.94,1.0,1.0,1.0,0.98,1.0,1.0,1.0,0.98
taverna.csv,0.05,0.08,0.02,0.0,0.13,0.0,0.23,0.87,0.15,0.28,0.05,0.0,0.67,0.0,0.02
tigermud.csv,0.67,0.25,0.67,0.1,0.62,0.87,0.34,0.94,0.14,0.21,0.36,0.17,0.76,0.58,0.71
unbvision.csv,0.03,0.08,0.13,0.3,0.28,0.03,0.51,0.07,0.09,0.12,0.27,0.17,0.19,0.11,0.75
x-ray-mule.csv,0.23,0.08,0.3,0.4,0.57,0.0,0.49,0.0,0.86,0.72,0.03,0.83,0.38,0.11,0.4
