,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,runuomondains.csv,somap.csv,tigermud.csv,hydrate.csv,cme.csv
algebsql.csv,3.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,4.0,0.0,7.0,1.0,1.0,3.0,10.0
cme.csv,109.0,0.0,1.0,49.0,79.0,96.0,67.0,2.0,114.0,81.0,66.0,77.0,0.0,0.0,0.0
hydrate.csv,1.0,1.0,0.0,1.0,3.0,1.0,2.0,0.0,0.0,2.0,8.0,0.0,0.0,1.0,12.0
ivef-sdk.csv,0.0,0.0,18.0,49.0,2.0,0.0,10.0,169.0,6.0,1.0,66.0,0.0,0.0,51.0,26.0
jmri.csv,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,24.0
jython.csv,1.0,0.0,18.0,1.0,2.0,0.0,7.0,1.0,5.0,1.0,7.0,0.0,0.0,2.0,20.0
kdenlive.csv,2.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,13.0
opentibia.csv,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,8.0
projectfactory.csv,0.0,1.0,1.0,49.0,2.0,8.0,2.0,1.0,1.0,0.0,3.0,0.0,0.0,2.0,9.0
runuomondains.csv,0.0,0.0,0.0,0.0,3.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,8.0
somap.csv,3.0,0.0,4.0,0.0,2.0,1.0,10.0,1.0,4.0,1.0,7.0,0.0,0.0,3.0,24.0
taverna.csv,0.0,0.0,3.0,49.0,0.0,0.0,3.0,7.0,4.0,0.0,3.0,0.0,0.0,0.0,56.0
tigermud.csv,2.0,0.0,1.0,0.0,2.0,1.0,2.0,3.0,4.0,0.0,5.0,0.0,0.0,2.0,24.0
unbvision.csv,0.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,12.0,0.0,0.0,1.0,16.0
x-ray-mule.csv,2.0,1.0,18.0,0.0,2.0,96.0,7.0,0.0,6.0,1.0,66.0,0.0,0.0,1.0,20.0
