,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,pgui.csv,tradelink.csv,google-gears.csv,gstreamer.csv,crux-framework.csv,metacosm.csv
aufs.csv,0.13,0.41,0.38,0.21,0.23,0.95,0.12,0.2,0.15,0.11,0.14,0.24,0.67,0.3
crux-framework.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
etherboot.csv,0.32,0.05,0.19,0.21,1.0,0.14,0.33,0.22,0.3,0.32,0.09,0.23,1.0,0.04
freebios.csv,0.39,0.41,0.19,0.54,0.45,0.19,1.0,0.45,0.3,0.53,0.32,0.35,0.67,0.48
gebr.csv,0.87,0.95,0.88,0.67,0.86,0.84,0.88,0.98,0.98,0.89,0.78,0.84,1.0,0.85
gnukeda.csv,0.55,0.86,0.75,0.95,0.68,0.84,0.24,0.48,0.7,0.63,0.59,0.46,1.0,0.81
google-gears.csv,0.94,0.73,0.5,0.9,0.68,0.89,0.57,0.72,0.81,0.68,0.99,0.67,0.67,0.7
gstreamer.csv,0.58,0.68,0.38,0.44,0.41,0.76,0.47,0.55,0.62,0.58,0.44,0.98,0.67,0.78
jnode.csv,0.0,0.0,1.0,0.03,0.0,0.0,0.02,0.01,0.02,0.0,0.02,0.01,0.0,0.0
metacosm.csv,0.39,0.45,0.38,0.31,0.18,0.59,0.12,0.14,0.6,0.37,0.32,0.4,0.67,0.96
openmeetings.csv,0.52,0.91,0.44,0.41,0.09,0.22,0.06,0.07,0.36,0.42,0.39,0.2,0.67,0.37
pgui.csv,0.42,0.5,0.38,0.46,0.36,0.43,0.22,0.56,0.94,0.74,0.67,0.31,0.33,0.59
tradelink.csv,0.23,0.09,0.06,0.21,0.14,0.81,0.24,0.0,0.34,0.95,0.14,0.38,0.33,0.0
wxcrp.csv,1.0,0.77,1.0,0.21,0.18,0.59,0.02,0.27,0.72,0.68,0.29,0.67,1.0,0.52
