,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,pgui.csv,tradelink.csv,google-gears.csv,gstreamer.csv,crux-framework.csv,metacosm.csv
aufs.csv,0.87,0.59,0.66,0.8,0.78,0.05,0.88,0.8,0.86,0.91,0.87,0.77,0.39,0.71
crux-framework.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
etherboot.csv,0.69,0.96,0.82,0.8,0.0,0.87,0.69,0.86,0.76,0.69,0.91,0.81,0.14,0.97
freebios.csv,0.69,0.6,0.86,0.78,0.76,0.82,0.04,0.88,0.75,0.67,0.82,0.85,0.54,0.55
gebr.csv,0.84,0.92,0.7,0.65,0.69,0.73,0.87,0.03,0.82,0.76,0.61,0.74,0.72,0.76
gnukeda.csv,0.72,0.29,0.65,0.05,0.66,0.47,0.85,0.53,0.56,0.55,0.52,0.59,0.66,0.61
google-gears.csv,0.75,0.4,0.58,0.63,0.73,0.81,0.93,0.71,0.74,0.72,0.05,0.5,0.5,0.51
gstreamer.csv,0.64,0.45,0.79,0.61,0.7,0.79,0.66,0.65,0.6,0.61,0.66,0.02,0.71,0.59
jnode.csv,1.0,1.0,0.0,0.98,1.0,1.0,0.98,0.99,0.98,1.0,0.98,0.99,1.0,1.0
metacosm.csv,0.65,0.55,0.67,0.7,0.83,0.55,0.88,0.86,0.55,0.68,0.68,0.61,0.46,0.04
openmeetings.csv,0.54,0.09,0.61,0.75,0.91,0.79,0.94,0.93,0.67,0.63,0.72,0.82,0.37,0.64
pgui.csv,0.74,0.58,0.68,0.71,0.73,0.69,0.8,0.79,0.06,0.38,0.68,0.73,0.72,0.5
tradelink.csv,0.78,0.91,0.94,0.81,0.86,0.8,0.76,1.0,0.78,0.05,0.87,0.77,0.69,1.0
wxcrp.csv,0.0,0.84,0.85,0.8,0.84,0.52,0.98,0.75,0.59,0.45,0.72,0.5,0.85,0.62
