,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,autowikibrowser.csv,rocrail.csv,quickfast.csv
applet2app.csv,259.5,92.5,99.0,99.0,98.5,297.0,185.0,193.0,270.5,281.5,97.5,98.5
autowikibrowser.csv,806.5,97.5,99.0,99.0,98.5,198.0,282.5,90.5,270.5,280.5,196.0,98.5
cities3d.csv,0.0,97.5,99.0,99.0,159.0,99.0,385.5,97.5,180.0,190.0,295.0,0.0
firebird.csv,165.0,95.5,99.0,99.0,98.5,297.0,185.0,193.0,270.5,377.0,97.5,98.5
hydrogen.csv,899.0,97.5,99.0,99.0,197.5,297.0,284.0,223.0,562.0,197.5,394.0,98.5
lphant.csv,895.0,97.5,99.0,99.0,98.5,198.0,286.5,90.5,178.0,98.5,295.0,98.5
qgo.csv,1176.5,97.5,99.0,99.0,98.5,297.0,385.5,95.5,562.0,98.5,196.0,98.5
quickfast.csv,992.5,97.5,99.0,99.0,98.5,492.5,847.0,90.5,562.0,98.5,394.0,96.5
rhex.csv,381.0,97.5,99.0,1274.5,98.5,198.0,375.0,583.0,40.5,197.5,196.0,98.5
rocrail.csv,800.5,97.5,99.0,99.0,191.0,198.0,286.5,90.5,464.5,282.5,196.0,98.5
xined.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.0,0.0,0.0,0.0,0.0
yield.csv,1085.0,97.5,99.0,99.0,98.5,297.0,479.5,193.0,366.0,281.5,196.0,98.5
