,lazarus-ccr.csv,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,migen.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,mvnforum.csv,vrjuggler.csv,gretl.csv,plplot.csv,alleg.csv,buddata-ebxml-registry.csv
alleg.csv,0.56,0.46,0.11,0.24,0.21,0.43,0.42,0.36,0.33,0.28,0.58,0.14,0.34,0.2,0.69,0.28,0.98,0.69
buddata-ebxml-registry.csv,0.63,0.78,0.29,0.21,0.2,0.72,0.61,0.56,0.45,0.28,0.58,0.21,0.45,0.35,0.91,0.42,0.76,1.0
co-ode-owl-plugins.csv,0.45,0.41,0.15,0.29,0.22,0.42,0.31,0.43,0.09,1.0,0.56,0.1,0.16,0.0,0.26,0.17,0.23,0.36
firebreath.csv,0.61,0.71,0.18,0.27,0.17,0.69,0.6,0.99,0.41,0.15,0.57,0.17,0.29,0.34,0.81,0.43,0.7,0.9
gretl.csv,0.6,0.72,0.26,0.28,0.25,0.72,0.6,0.54,0.45,0.3,0.58,0.19,0.43,0.17,0.99,0.43,0.59,0.81
konversation.csv,0.21,0.06,0.14,1.0,0.24,0.43,0.2,0.03,0.17,0.1,0.14,0.11,0.0,0.08,0.16,0.0,0.24,0.14
lazarus-ccr.csv,0.96,0.6,0.43,0.24,0.18,0.7,0.49,0.54,0.45,0.44,0.27,0.26,0.52,0.4,0.0,0.35,0.48,0.77
linuxsh.csv,0.0,0.4,1.0,0.5,0.09,0.6,0.49,0.38,0.16,0.18,0.51,0.24,0.29,0.0,0.17,0.14,0.22,0.51
migen.csv,0.54,0.29,0.26,0.35,0.28,0.54,0.97,0.4,0.21,0.19,0.41,0.22,0.32,0.1,0.87,0.33,0.71,0.36
moviesandbox.csv,0.44,0.64,0.38,0.4,0.27,1.0,0.55,0.46,0.13,0.43,0.6,0.24,0.34,0.07,0.56,0.33,0.43,0.53
mvnforum.csv,0.38,0.48,0.36,0.11,0.2,0.39,0.3,0.43,0.11,0.12,0.19,0.27,0.94,0.12,0.33,0.14,0.39,0.4
ontomorphtab.csv,0.24,0.97,0.3,0.28,0.3,0.64,0.61,0.47,0.4,0.25,0.46,0.26,0.42,0.22,0.49,0.43,0.28,0.71
opengs.csv,0.47,0.59,0.18,0.52,0.31,0.61,0.61,0.37,0.16,0.05,0.99,0.22,0.43,0.0,0.49,0.44,0.49,0.45
plplot.csv,0.64,0.75,0.3,0.39,0.31,0.67,0.59,0.53,0.46,0.21,0.37,0.24,0.31,0.28,0.9,0.9,0.77,0.66
scite-ru.csv,0.6,0.71,0.27,0.19,0.2,0.64,0.48,0.5,0.9,0.32,0.58,0.21,0.46,0.26,0.42,0.41,0.08,0.85
tokratan.csv,0.5,0.05,0.24,0.14,0.18,0.27,0.24,0.22,0.14,0.1,0.07,0.93,0.0,0.09,0.34,0.26,0.23,0.09
vrjuggler.csv,0.67,0.56,0.0,0.23,0.17,0.04,0.58,0.39,0.31,0.3,0.4,0.21,0.29,0.94,0.03,0.17,0.04,0.73
xuggle.csv,0.55,0.48,0.29,0.26,0.98,0.63,0.39,0.41,0.34,0.25,0.65,0.13,0.33,0.13,0.68,0.36,0.7,0.84
