,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,projectfactory.csv,amygdala.csv,runuomondains.csv,somap.csv,tigermud.csv,chrysalis.csv,duplicati.csv,hydrate.csv,cme.csv
algebsql.csv,0.72,0.75,0.4,0.3,0.81,0.77,0.09,0.99,0.02,0.74,0.97,0.0,0.05,0.28,1.0,0.79,0.44
amygdala.csv,0.36,0.17,0.21,0.15,0.62,0.0,0.29,0.0,0.3,0.31,0.15,0.67,0.38,0.2,1.0,0.11,0.33
chrysalis.csv,0.1,0.08,0.16,0.6,0.32,0.77,0.54,0.09,0.26,0.34,0.29,0.17,0.48,0.22,0.0,0.42,0.96
cme.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.1,0.0,0.19,0.0,0.0,0.16,0.02
hydrate.csv,0.0,0.08,0.49,0.1,0.36,0.13,0.17,0.19,0.3,0.06,0.63,0.33,0.14,0.09,1.0,0.37,0.44
ivef-sdk.csv,0.77,0.42,0.6,0.75,0.68,0.0,0.71,0.0,0.79,0.51,0.08,1.0,0.48,0.62,1.0,0.0,0.73
jmri.csv,0.1,0.08,0.32,0.35,0.45,0.03,0.57,0.11,0.28,0.2,0.27,0.33,0.0,0.01,1.0,0.26,0.9
jython.csv,0.87,0.67,0.36,0.9,0.87,0.93,0.97,0.14,0.56,0.74,0.75,0.5,0.52,0.56,1.0,0.68,0.96
kdenlive.csv,0.38,0.58,0.44,0.85,0.64,0.77,0.43,0.99,0.72,0.74,0.8,0.67,0.43,0.25,1.0,0.63,0.69
opentibia.csv,0.31,0.25,0.37,0.2,0.42,0.0,0.71,0.11,0.07,0.03,0.32,0.0,0.81,0.29,0.0,0.68,0.23
projectfactory.csv,0.0,0.0,0.26,0.0,0.19,0.07,0.23,0.18,0.4,0.03,0.25,0.17,0.24,0.05,1.0,0.21,0.33
runuomondains.csv,0.21,0.17,0.68,0.7,0.6,0.97,0.77,0.13,0.98,0.6,0.15,0.17,0.57,0.56,0.0,0.47,0.79
somap.csv,0.95,0.92,0.76,0.85,0.85,1.0,0.8,1.0,0.81,0.94,0.93,0.0,1.0,0.85,0.0,1.0,0.83
taverna.csv,0.18,0.42,0.33,0.15,0.25,0.43,0.46,0.9,0.58,0.34,0.47,0.0,0.86,0.6,0.0,0.21,0.19
tigermud.csv,0.56,0.58,0.91,0.25,0.3,0.1,0.17,0.07,0.26,0.37,0.29,0.33,0.1,0.54,0.0,0.84,0.25
x-ray-mule.csv,0.15,0.0,0.2,0.15,0.49,0.0,0.31,0.0,0.74,0.14,0.02,0.17,0.1,0.37,1.0,0.05,0.21
