,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv
ikvm.csv,0.6,0.79,0.03,0.12,0.67,0.79,0.47,0.14,0.1,0.73
libtorrent.csv,0.72,0.46,0.07,0.31,0.76,0.93,0.59,0.18,0.26,0.88
mcmc-jags.csv,0.74,0.41,0.05,0.63,0.77,0.87,0.57,0.25,0.16,0.88
nebuladevice.csv,0.73,0.18,0.0,0.24,0.0,0.85,0.47,0.11,0.33,0.91
olap-navigator.csv,0.98,0.44,0.1,0.53,0.84,1.0,0.61,0.22,0.34,0.93
pidgin.csv,0.89,0.48,0.07,0.5,0.86,0.95,0.71,0.19,0.31,0.91
salasaga.csv,0.67,0.42,0.04,0.31,0.79,0.83,0.63,0.28,0.14,0.89
sepgsql.csv,0.97,0.43,0.11,0.4,0.86,1.0,0.69,0.21,0.25,0.97
xstore.csv,0.69,0.36,0.05,0.64,0.76,0.94,0.74,0.25,0.16,0.87
xtreemfs.csv,0.87,0.5,0.05,0.32,0.73,0.89,0.6,0.18,0.08,0.95
