,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv
ikvm.csv,0.88,0.22,0.93,1.01,0.79,0.96,0.81,1.0,0.91,0.95
libtorrent.csv,0.82,0.65,0.68,0.62,0.75,0.4,0.66,0.64,0.55,0.66
mcmc-jags.csv,0.66,0.75,0.88,0.26,0.64,0.63,0.76,0.55,0.82,0.63
nebuladevice.csv,0.67,0.98,1.0,0.83,1.0,0.7,0.82,0.86,0.44,0.47
olap-navigator.csv,0.18,0.72,0.4,0.5,0.48,0.6,0.6,0.56,0.43,0.38
pidgin.csv,0.74,0.63,0.53,0.93,0.41,0.63,0.52,0.67,0.74,0.58
salasaga.csv,0.76,0.78,0.91,0.62,0.56,0.75,0.58,0.46,0.84,0.6
sepgsql.csv,0.44,0.7,0.37,0.75,0.43,0.65,0.55,0.59,0.93,0.26
xstore.csv,0.71,0.83,0.96,0.54,0.74,0.67,0.41,0.5,0.74,0.72
xtreemfs.csv,0.41,0.64,0.93,0.62,0.84,0.61,0.62,0.65,0.95,0.27
