,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv
ikvm.csv,0.48,0.86,0.37,0.27,0.44,0.64,0.5,0.93,0.33,0.36
libtorrent.csv,0.93,0.55,1.0,0.67,0.96,0.77,0.8,0.61,0.93,0.91
mcmc-jags.csv,0.46,0.59,0.85,0.8,0.8,0.7,0.89,0.54,0.67,0.84
nebuladevice.csv,0.77,0.14,0.0,0.67,0.0,0.41,0.54,0.18,0.67,0.78
olap-navigator.csv,0.82,0.36,0.85,0.53,0.63,0.4,0.54,0.57,0.67,0.87
pidgin.csv,0.26,0.55,0.74,0.07,0.71,0.38,0.54,0.86,0.27,0.48
salasaga.csv,0.52,0.73,0.85,0.67,0.74,0.56,0.85,0.64,0.2,0.92
sepgsql.csv,0.56,0.45,0.81,0.27,0.66,0.35,0.52,0.54,0.07,0.78
xstore.csv,0.56,0.23,1.0,0.47,0.93,0.34,0.7,0.64,0.4,0.93
xtreemfs.csv,0.66,0.45,1.0,0.53,0.88,0.49,0.78,0.68,0.07,0.86
