,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv
ikvm.csv,0.7,0.17,0.68,0.69,0.56,0.89,0.63,1.0,0.62,0.7
libtorrent.csv,0.81,0.47,0.68,0.52,0.75,0.33,0.63,0.5,0.55,0.66
mcmc-jags.csv,0.37,0.63,0.87,0.17,0.61,0.56,0.76,0.29,0.75,0.61
nebuladevice.csv,0.63,0.47,0.0,0.76,0.0,0.39,0.68,0.27,0.28,0.41
olap-navigator.csv,0.04,0.33,0.37,0.17,0.31,0.0,0.39,0.36,0.27,0.36
pidgin.csv,0.07,0.43,0.46,0.02,0.28,0.11,0.24,0.65,0.13,0.25
salasaga.csv,0.59,0.73,0.9,0.52,0.5,0.61,0.56,0.29,0.25,0.59
sepgsql.csv,0.04,0.43,0.32,0.14,0.27,0.0,0.27,0.36,0.04,0.13
xstore.csv,0.56,0.3,0.96,0.1,0.73,0.11,0.27,0.35,0.44,0.72
xtreemfs.csv,0.22,0.33,0.93,0.4,0.83,0.33,0.59,0.56,0.17,0.23
