,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv
ikvm.csv,0.43,0.85,0.36,0.28,0.44,0.33,0.47,0.0,0.34,0.35
libtorrent.csv,0.52,0.55,0.7,0.62,0.61,0.75,0.65,0.58,0.77,0.68
mcmc-jags.csv,0.49,0.53,0.4,0.81,0.66,0.63,0.58,0.57,0.5,0.68
nebuladevice.csv,0.63,0.16,0.0,0.49,0.0,0.44,0.47,0.21,0.68,0.73
olap-navigator.csv,0.84,0.4,0.79,0.57,0.64,0.45,0.55,0.58,0.68,0.81
pidgin.csv,0.3,0.55,0.69,0.09,0.71,0.43,0.57,0.67,0.31,0.52
salasaga.csv,0.49,0.54,0.34,0.62,0.68,0.52,0.72,0.65,0.23,0.74
sepgsql.csv,0.61,0.47,0.78,0.31,0.67,0.4,0.55,0.56,0.09,0.8
xstore.csv,0.53,0.27,0.17,0.52,0.62,0.39,0.71,0.64,0.42,0.64
xtreemfs.csv,0.68,0.48,0.27,0.54,0.48,0.52,0.66,0.61,0.09,0.84
