,dynalloy.csv,xbplayer.csv,autat.csv,runuomondains.csv,findbugs.csv
autat.csv,0.88,0.49,0.43,0.88,0.61
dynalloy.csv,0.34,0.73,0.99,0.8,0.76
findbugs.csv,0.59,0.52,0.75,0.47,0.52
runuomondains.csv,0.82,0.57,0.92,0.29,0.66
xbplayer.csv,0.71,0.49,0.61,0.43,0.81
