,dynalloy.csv,xbplayer.csv,autat.csv,runuomondains.csv,findbugs.csv
autat.csv,0.49,0.54,0.47,0.12,0.48
dynalloy.csv,0.7,0.43,0.08,0.18,0.47
findbugs.csv,0.58,0.52,0.37,0.33,0.57
runuomondains.csv,0.5,0.53,0.27,0.52,0.47
xbplayer.csv,0.38,0.54,0.36,0.34,0.36
