,jedit.csv,jahshaka.csv,open-media-library.csv,benojt.csv,jatlas.csv,snakeyaml.csv,chrysalis.csv,xamj.csv
benojt.csv,0.46,0.0,0.0,0.99,0.13,0.35,0.05,0.13
chrysalis.csv,0.57,0.67,0.39,0.65,0.77,0.58,0.8,0.7
jahshaka.csv,0.53,0.73,0.36,0.29,0.54,0.48,0.69,0.54
jatlas.csv,0.59,0.55,0.51,0.59,0.97,0.65,0.42,0.45
jedit.csv,0.71,0.63,0.49,0.0,0.36,0.27,0.5,0.0
open-media-library.csv,0.57,0.5,0.74,0.55,0.76,0.6,0.0,0.61
snakeyaml.csv,0.68,0.59,0.57,0.53,0.62,0.72,0.0,0.39
xamj.csv,0.74,0.51,0.29,0.63,0.24,0.68,0.38,0.72
