,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,bdbbasic.csv,pgui.csv,google-gears.csv,bibletime.csv,crux-framework.csv
aufs.csv,0.58,0.95,0.58,0.7,0.54,0.56,0.92,0.95,0.7,0.8,0.65
bdbbasic.csv,0.41,0.84,0.61,0.39,0.57,0.3,0.48,0.75,0.47,0.39,0.69
bibletime.csv,0.39,0.41,0.39,0.42,0.42,0.45,0.39,0.4,0.42,0.36,0.35
crux-framework.csv,0.6,0.49,0.96,0.67,0.94,0.62,0.51,0.48,0.75,0.49,0.94
etherboot.csv,0.75,0.78,0.0,0.5,0.56,0.83,0.68,0.4,0.88,0.38,0.37
gnukeda.csv,0.45,0.96,0.55,0.56,0.44,0.41,0.0,0.97,0.48,0.37,0.41
google-gears.csv,0.42,0.37,0.51,0.48,0.43,0.5,0.41,0.4,0.49,0.38,0.44
jnode.csv,0.67,0.57,0.78,0.6,0.83,0.75,0.89,0.75,0.95,0.86,0.83
openmeetings.csv,0.54,0.56,0.57,0.83,0.41,0.45,0.89,0.48,0.83,0.48,0.65
pgui.csv,0.56,0.49,0.0,0.54,0.54,0.49,0.5,0.62,0.56,0.4,0.42
wxcrp.csv,0.53,0.48,0.43,0.5,0.43,0.41,0.39,0.41,0.5,0.35,0.55
