,xbrlapi.csv,codeblocks.csv,fw4spl.csv,emulemorph.csv,ipfire-wall.csv,libmesh.csv,soar.csv,gnome-jabber.csv,ipfilter.csv,tencompetence.csv,fulguro.csv,rockbox.csv
codeblocks.csv,0.0,0.0,14.0,22.0,6.0,0.0,0.0,0.0,1.0,1.0,2.0,6.0
emulemorph.csv,0.0,0.0,369.0,0.0,54.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0
fulguro.csv,0.0,5.0,43.0,2.0,4.0,0.0,0.0,3.0,0.0,0.0,4.0,8.0
fw4spl.csv,0.0,0.0,2.0,109.0,12.0,0.0,0.0,0.0,1.0,0.0,11.0,3.0
gnome-jabber.csv,0.0,0.0,22.0,0.0,10.0,2.0,1.0,0.0,0.0,0.0,11.0,6.0
ipfilter.csv,0.0,5.0,44.0,2.0,6.0,0.0,2.0,3.0,0.0,0.0,1.0,10.0
ipfire-wall.csv,2.0,1.0,12.0,34.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0
libmesh.csv,0.0,1.0,65.0,3.0,8.0,0.0,0.0,0.0,1.0,0.0,2.0,14.0
rockbox.csv,0.0,2.0,8.0,6.0,2.0,1.0,0.0,0.0,64.0,1.0,2.0,0.0
soar.csv,0.0,5.0,72.0,3.0,8.0,0.0,0.0,3.0,0.0,0.0,2.0,15.0
tencompetence.csv,0.0,1.0,50.0,39.0,4.0,0.0,0.0,3.0,0.0,0.0,1.0,50.0
xbrlapi.csv,0.0,0.0,1.0,6.0,1.0,2.0,1.0,96.0,0.0,0.0,1.0,0.0
