,xbrlapi.csv,codeblocks.csv,fw4spl.csv,emulemorph.csv,ipfire-wall.csv,libmesh.csv,soar.csv,gnome-jabber.csv,ipfilter.csv,tencompetence.csv,fulguro.csv,rockbox.csv
codeblocks.csv,0.73,0.47,0.58,0.82,0.89,0.67,0.84,0.9,0.94,0.9,1.0,0.56
emulemorph.csv,0.98,0.97,1.0,0.34,1.0,0.96,0.84,0.99,0.93,0.75,0.92,0.89
fulguro.csv,0.71,0.82,0.77,0.8,0.79,0.79,0.49,0.81,0.65,0.63,0.52,0.66
fw4spl.csv,0.76,0.65,0.5,1.01,0.64,0.88,0.88,0.99,0.79,0.9,0.74,0.65
gnome-jabber.csv,0.69,0.66,0.53,0.48,0.7,0.83,0.68,0.45,0.52,0.83,0.75,0.57
ipfilter.csv,0.7,0.82,0.75,0.79,0.58,0.85,0.75,1.0,0.12,0.49,0.65,0.69
ipfire-wall.csv,0.73,0.76,0.75,0.68,0.32,0.83,0.94,0.83,0.48,0.6,0.55,0.58
libmesh.csv,0.75,0.78,0.8,0.82,1.02,0.45,0.66,0.98,0.92,0.74,0.82,0.97
rockbox.csv,0.89,0.77,0.57,0.68,0.51,0.91,0.97,0.83,1.01,0.99,0.63,0.35
soar.csv,0.93,1.0,1.0,1.0,1.0,1.0,0.41,1.0,1.0,0.9,1.0,1.0
tencompetence.csv,0.65,0.96,0.98,0.7,0.63,0.74,0.65,0.86,0.87,0.35,0.74,1.01
xbrlapi.csv,0.49,0.95,0.7,0.48,0.53,0.83,0.85,1.0,0.74,0.81,0.55,0.63
